observation_id	original_f_id	root_id	relation	observation_severity	normalized_severity	workstream	category	owner	source_evidence	finding
F-413#01	F-413	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/i18n/i18n.service.ts:728–733`	Missing translation keys are returned as the raw key string, and interpolation performs only one replacement with unescaped `String(val)`, which can leak internal keys or create unsafe rendered content.
F-425#01	F-425	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/maternity/maternity.controller.ts:24–27; src/modules/maternity/maternity.service.ts:38–41`	`GET /maternity/content` returns empty content arrays while presenting a successful response, creating a feature gap and risking a misleading “available” experience.
F-431#01	F-431	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/nutrition/nutrition.service.ts:29–35,134–142,155–163,181–188`	Meal, water and exercise history queries are unbounded by pagination and projection, while date parsing uses local timezone construction without an explicit canonical timezone contract.
F-433#01	F-433	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/nutrition/nutrition.service.ts:114–130,167–177,204–219`	Calories, macros and calories-burned are accepted from the client with no visible provenance, canonical food/exercise source or plausibility relationship checks, so summaries may be numerically consistent but not truthful.
F-475#01	F-475	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/notification/notification.service.ts:8–19`	`NotificationService.create` forwards caller-controlled translation keys, params, type, priority and action with no local allowlist, schema validation or size bound, leaving injection/semantic-spoofing risk to downstream behavior.
F-482#01	F-482	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/returns/returns.service.ts:123–147`	Patient returns and admin returns list are unbounded; provider list first loads all provider order IDs before querying returns, creating data-exfiltration and scalability risk.
F-501#01	F-501	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/legal/legal-enterprise.controller.ts:118–123; src/modules/legal/legal-enterprise.service.ts:308–363`	SLA accepts unchecked `days`, loads all matching jobs, counts `sla_logs` without time window, and divides by `orders.length||1`, producing potentially misleading rates and operational load.
F-520#01	F-520	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/home-care/home-care.module.ts:33–70`	Module initialization seeds catalog data as a startup side effect with partial-error logging and no version/deprecation/reconciliation lifecycle, risking drift or unexpected production writes.
F-549#01	F-549	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/care/slot.service.ts:26–79,85–106; src/modules/care/care.service.ts:115–165`	Slot engine uses UTC date/working-hour parsing and accepts duration/working-hour values without strict bounds; distance/availability paths repeatedly query bookings, creating timezone and load risks.
F-555#01	F-555	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/articles/articles.module.ts:23–32`	Public article search interpolates caller input directly into a Mongo regex without escaping or a visible length bound, creating regex backtracking/load risk and inconsistent search semantics.
F-556#01	F-556	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Patient Web	`src/modules/articles/articles.module.ts:73–80,105–117`	Admin article update accepts arbitrary body fields via `$set` after removing only `id` and `slug`, allowing untyped mutation of status/content/SEO/metadata fields outside a controlled CMS contract.
F-560#01	F-560	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/articles/seo.controller.ts:32–36`	SEO home-care-service resolution falls back to `labservices`, allowing a URL typed as home care to resolve to an unrelated lab entity and create false links/canonical content.
F-579#01	F-579	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/seed.service.ts:67–75,142–188`	Facilities and doctors use name/user-based upsert keys while updates can overwrite seeded values; no visible version/provenance/conflict policy protects manually curated production records.
F-614#01	F-614	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/events/catalog-publication.service.ts:81–110`	Publication copies source provenance/review/indexing fields and derives robots/sitemap/feed inclusion without visible freshness, locale, deletion lifecycle or source-field completeness validation.
F-625#01	F-625	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/provider-onboarding/provider-onboarding.module.ts:391–428`	Unified search interpolates raw service query into regex across many provider fields and returns broad provider documents, enabling regex load abuse and unnecessary profile disclosure.
F-670#01	F-670	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Platform	`src/modules/facility-ops/facility-ops.module.ts:383–417`	Resource creation coerces invalid capacity to 1 and silently accepts arbitrary type strings; update silently ignores invalid status while returning only a generic result contract.
F-706#01	F-706	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/service-catalog/service-catalog.module.ts:77–90`	Provider catalog creation spreads the raw body into Lab/Radiology service documents, allowing mass assignment of fields outside the intended contract.
F-713#01	F-713	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/service-catalog/service-catalog.module.ts:49–51,158–181`	Availability uses JavaScript local-day/time helpers and caller date without explicit provider timezone or invalid-date handling, so DST/date boundary behavior can produce incorrect slots.
F-893#01	F-893	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Provider	`src/modules/doctors/doctors.module.ts:56–65,246–254`	Public doctor list uses raw regex from search/insurance input and returns up to 100 records without escaped bounded search, cursor pagination or canonical public projection.
F-894#01	F-894	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Provider	`src/modules/doctors/doctors.module.ts:74–82`	Specialty listing performs per-specialty sample/count queries and includes records without the same published/accepting/deleted filter, causing N+1 and catalog inconsistency.
F-939#01	F-939	RD-0001	unverified-runtime	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/compat/compat.module.ts:236–266`	Nutrition endpoint seeds an empty collection with hard-coded foods marked `verified:true`, creating production false-data/provenance risk; raw regex search remains unbounded.
F-979#01	F-979	RD-0001	unverified-runtime	P0	P0	catalog/quote	catalog/provenance/publication	Admin	`src/modules/compat/admin-spa.module.ts:395–430`	Specialties endpoint seeds a static catalog when empty, creating runtime reference-data mutation and provenance risk.
F-1014#01	F-1014	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Provider	`src/modules/admin-command-center/admin-command-center.module.ts:79–84`	Provider live status groups all provider profiles globally without facility, license, active-account or freshness semantics.
F-1025#01	F-1025	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/admin-web-core/schemas/provider.schema.ts:11–12`	The provider type enum contains only doctor, pharmacy and home_care, while the wider backend exposes lab, radiology, nursing, hospital and other domains; this creates schema/domain drift.
F-1049#01	F-1049	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/medicines/med-i18n.ts:10–19,162–170`	Product locale uses `fil` while `DbLang`/database mapping uses `tl`; without a canonical alias layer Filipino localization can silently miss or fall back incorrectly.
F-1054#01	F-1054	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/medicines/med-i18n.ts:156–179`	Urdu, Hindi, Bengali and Filipino values fall back to English dictionaries when source translations are absent, violating requested-language semantics while hiding missing translation status.
F-1057#01	F-1057	RD-0001	unverified-runtime	P1	P0	catalog/quote	catalog/provenance/publication	Patient Web	`src/modules/medicines/med-i18n.ts:21–47,156–179`	Translation readiness and runtime localization are separate mechanisms; a medicine may pass readiness while runtime output remains partially Arabic or English fallback, creating catalog/SEO parity drift.
F-1058#01	F-1058	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/medicines/repositories/medicine.repository.ts:8–13`	MedicineRepository is a generic MongoRepository wrapper and enforces no active/public catalog filter or canonical source/provenance requirement for medicine reads.
F-1059#01	F-1059	RD-0001	unverified-runtime	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/medicines/repositories/medicine.repository.ts:8–13`	No locale projection or runtime translation/readiness policy is enforced at the repository boundary, allowing raw Arabic/incomplete translation records to reach clients.
F-1063#01	F-1063	RD-0001	unverified-runtime	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/medicines/repositories/medicine.repository.ts:2–13`	Medicine model binding relies on a named token with no runtime assertion of canonical schema registration, leaving model-token drift to module wiring.
F-1064#01	F-1064	RD-0001	derived-from	P2	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/medicines/repositories/medicine.repository.ts:1–13`	Generic repository inheritance and copied import/comment formatting obscure the intended medicine repository contract and provenance.
F-1068#01	F-1068	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/article.repository.ts:7–12`	No locale completeness or language projection policy is enforced, so public SEO pages may return missing, mixed or incorrect-language content.
F-1069#01	F-1069	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/article.repository.ts:7–12`	No SEO metadata validation or parity contract exists for title, description, structured data, visible facts and canonical URL.
F-1070#01	F-1070	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/article.repository.ts:7–12`	No index lifecycle, soft-delete, redirect or 404/410 policy is represented in the repository, leaving stale/deleted article URLs unmanaged.
F-1073#01	F-1073	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/homecareservice.repository.ts:8–11`	HomeCareService SEO repository uses `MongoRepository<any>` and `Model<any>`, removing compile-time guarantees for the service schema.
F-1074#01	F-1074	RD-0001	unverified-runtime	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/homecareservice.repository.ts:8–13`	No approved/public/credential-readiness filter is enforced, so SEO/catalog reads depend on callers not exposing draft or unverified services.
F-1077#01	F-1077	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/homecareservice.repository.ts:8–13`	No locale projection or content completeness gate exists, permitting mixed-language or incomplete home-care pages.
F-1079#01	F-1079	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/homecareservice.repository.ts:8–13`	No soft-delete, redirect or 404/410 index lifecycle is represented, leaving withdrawn services vulnerable to stale search results.
F-1082#01	F-1082	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/medicine.repository.ts:8–11`	SEO MedicineRepository uses `MongoRepository<any>` and `Model<any>`, removing compile-time guarantees for indexed medicine documents.
F-1083#01	F-1083	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/medicine.repository.ts:8–13`	No canonical catalog projection/source-of-truth link is enforced, allowing indexed medicine facts to diverge from the patient catalog.
F-1086#01	F-1086	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/medicine.repository.ts:8–13`	No locale projection/completeness policy exists, so indexed pages may contain mixed-language, Arabic fallback or missing medicine fields.
F-1089#01	F-1089	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/medicine.repository.ts:8–13`	No soft-delete, redirect or 404/410 index lifecycle is represented for discontinued medicines.
F-1091#01	F-1091	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/labservice.repository.ts:8–11`	LabServiceRepository uses `MongoRepository<any>` and `Model<any>`, removing compile-time guarantees for indexed lab-service documents.
F-1092#01	F-1092	RD-0001	unverified-runtime	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/labservice.repository.ts:8–13`	No approved/public/facility-readiness filter is enforced, so draft, unverified or withdrawn lab services can reach index-facing callers.
F-1095#01	F-1095	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/labservice.repository.ts:8–13`	No locale projection or translation completeness gate exists, permitting mixed-language or incomplete lab-service pages.
F-1097#01	F-1097	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/labservice.repository.ts:8–13`	No soft-delete, redirect or 404/410 lifecycle is represented for discontinued or unavailable lab services.
F-1100#01	F-1100	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/facility.repository.ts:8–11`	FacilityRepository uses `MongoRepository<any>` and `Model<any>`, removing compile-time guarantees for indexed facility documents.
F-1101#01	F-1101	RD-0001	unverified-runtime	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/facility.repository.ts:8–13`	No licensed/approved/public or operating-status filter is enforced, allowing unlicensed, closed or unverified facilities to reach index-facing callers.
F-1102#01	F-1102	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/facility.repository.ts:8–13`	No service-availability, coverage-area or location freshness contract exists, so facility pages can advertise unavailable or stale services/locations.
F-1104#01	F-1104	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/facility.repository.ts:8–13`	No locale projection or content completeness gate exists for facility pages, permitting mixed-language or incomplete indexed content.
F-1106#01	F-1106	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/facility.repository.ts:8–13`	No soft-delete, redirect or 404/410 lifecycle is represented for closed, relocated or withdrawn facilities.
F-1109#01	F-1109	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/providerprofile.repository.ts:8–11`	ProviderProfileRepository uses `MongoRepository<any>` and `Model<any>`, removing compile-time guarantees for indexed provider profiles.
F-1110#01	F-1110	RD-0001	unverified-runtime	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/providerprofile.repository.ts:8–13`	No verified/licensed/approved/public gate is enforced, allowing unverified, suspended or withdrawn providers to reach public/index callers.
F-1112#01	F-1112	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/providerprofile.repository.ts:8–13`	No provider-to-facility/service scope or current availability contract is enforced, risking misleading provider service pages.
F-1113#01	F-1113	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/providerprofile.repository.ts:8–13`	No locale projection or profile-content completeness gate exists, permitting mixed-language or incomplete indexed profiles.
F-1114#01	F-1114	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/providerprofile.repository.ts:8–13`	No canonical/slug uniqueness or JSON-LD/visible-facts parity contract is represented for provider pages.
F-1115#01	F-1115	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seo/repositories/providerprofile.repository.ts:8–13`	No soft-delete, suspension, redirect or 404/410 index lifecycle is represented for provider profiles.
F-1152#01	F-1152	RD-0001	blocked-by-decision	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/ratings/ratings.module.ts:17–24,32–44`	Rating submission trusts client-supplied `provider_id` and entity identifiers without verifying that the caller owned/completed the referenced service or that provider matches the entity.
F-1165#01	F-1165	RD-0001	derived-from	P2	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/ratings/ratings.module.ts:108–112`	Module registers only controller/service and does not evidence schema/index, guard, rate-limit, serializer or moderation configuration.
F-1174#01	F-1174	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/repositories/medicine.repository.ts:8–13`	Typed medicine seed repository has no production-environment hard stop or seed-only capability boundary; bootstrap writes could target live catalog data.
F-1177#01	F-1177	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/repositories/medicine.repository.ts:8–13`	No locale/translation provenance or publication readiness gate is represented at the seed repository boundary.
F-1179#01	F-1179	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/repositories/medicine.repository.ts:8–13`	No optimistic versioning or conflict handling prevents stale seed data from overwriting catalog changes.
F-1199#01	F-1199	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/repositories/labservice.repository.ts:8–13`	Lab service seed repository has no production-environment hard stop or seed-only capability boundary; bootstrap writes could target live service catalog.
F-1204#01	F-1204	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/repositories/labservice.repository.ts:8–13`	No optimistic versioning or conflict handling prevents stale seed data from overwriting live lab-service changes.
F-1218#01	F-1218	RD-0001	blocked-by-decision	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/repositories/facility.repository.ts:8–13`	No license/approval/readiness or operating-status invariant is enforced, so seeded facts can be mistaken for verified operational facilities.
F-1221#01	F-1221	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/repositories/facility.repository.ts:8–13`	No optimistic versioning or conflict handling prevents stale seed data from overwriting live facility/location changes.
F-1223#01	F-1223	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/repositories/facility.repository.ts:8–13`	No separation between seeded facility facts and service availability, coverage or commercial/operational truth is enforced.
F-1240#01	F-1240	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/seed.module.ts:10,23–31`	LabService registration uses literal `'LabService'` while other models use `.name`, with no central model-token registry or startup contract check.
F-1244#01	F-1244	RD-0001	derived-from	P2	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/seed.module.ts:12–19,34`	Formatting and inconsistent quote style obscure the wiring contract and make review of this high-blast-radius module harder.
F-1245#01	F-1245	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Provider	`src/modules/seed/seed.data.ts:5–8,10–40,74–279,281–284`	Seed dataset stores plaintext predictable passwords for patient, pharmacy, doctor and delivery accounts in source-controlled code.
F-1252#01	F-1252	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Patient Web	`src/modules/seed/seed.data.ts:10–40,74–279`	Seed dataset uses hardcoded coordinates and facility names without geospatial/source validation, risking wrong nearest-provider results and misleading local SEO.
F-1254#01	F-1254	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/seed.data.ts:286–298`	`SEED_MEDICINES` is an empty array with category-only comments, leaving the seeded medicine catalog empty and creating pressure for mock/placeholder fallback or incomplete production browsing.
F-1261#01	F-1261	RD-0001	blocked-by-decision	P0	P0	catalog/quote	catalog/provenance/publication	Patient Web	`src/modules/seed/seed.facilities.ts:20–23,42–45,64–67,86–89,108–111,130–133`	Facility phone, website, departments and insurance acceptance are hardcoded facts with no freshness or source validation, risking misleading patient discovery and SEO.
F-1262#01	F-1262	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/seed.facilities.ts:24–30,46–52,68–74`	Multiple hospitals are marked open 00:00–23:59 every day, which can be an operationally false availability claim if interpreted as appointment/service hours.
F-1266#01	F-1266	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	QA	`src/modules/seed/seed.facilities.ts:6–142`	No environment gate, collection allowlist, seed run ID, source checksum or rollback marker is encoded, so facility fixtures can be imported into production without context.
F-1268#01	F-1268	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/seed/seed.facilities.ts:8–13,33–38,55–60,77–82,99–104,121–126`	No locale completeness or translation provenance is attached to Arabic/English names/descriptions, risking mixed-language public pages.
F-1483#01	F-1483	RD-0001	unverified-runtime	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/doctors/doctors.schemas.ts:14–27,32–39`	Doctor commercial/public fields use unconstrained primitives and zero/default values, allowing unverified fees, rating, review counts and availability to become visible truth.
F-1485#01	F-1485	RD-0001	unverified-runtime	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/doctors/doctors.schemas.ts:23–39`	Doctor status is a free string despite a comment describing a three-value enum; accepting/online/clinic flags default true, risking premature public availability.
F-1486#01	F-1486	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/doctors/doctors.schemas.ts:44–49`	Slug is generated from mutable names and UUID in a save hook, with no visible collision/rewrite policy or stable URL lifecycle.
F-1501#01	F-1501	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Patient Mobile	`src/modules/legal/legal.module.ts:48–66,160–168`	Public policy retrieval exposes version, effective date, last update, change log and applicability without visible publication/redaction policy.
F-1504#01	F-1504	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/legal/legal.module.ts:68–95`	Policy version is auto-incremented only as a minor number and effective date/content/acceptance applicability have no visible monotonicity or publication invariant.
F-1564#01	F-1564	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Patient Mobile	`src/modules/home-care/home-care.seed.ts:1–140`	Home-care catalog content is an exported hardcoded array with no visible seed-only/environment gate; it can be mistaken for production truth or loaded into production without provenance.
F-1565#01	F-1565	RD-0001	blocked-by-decision	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/home-care/home-care.seed.ts:3–138`	Service records have no stable explicit service ID, source/provenance, approval/publication status, effective date or retirement lifecycle.
F-1567#01	F-1567	RD-0001	unverified-runtime	P1	P0	catalog/quote	catalog/provenance/publication	QA	`src/modules/home-care/home-care.seed.ts:7–12,18–23,29–34,40–45,53–58,64–69,75–80,86–91,99–104,110–115,121–126,132–137`	Fixed durations and free-form tags/specialties have no runtime validation or capacity/availability semantics.
F-1572#01	F-1572	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/home-care/home-care.seed.ts:3–138`	No city/region, visit radius, nurse availability, shift capacity or scheduling constraints are encoded, so catalog presence does not establish actual serviceability.
F-1594#01	F-1594	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/home-care/schemas/home-care-nurse.schema.ts:6–10`	Gender, facility and degree are free strings with no controlled vocabulary, provenance or reviewed display contract.
F-1619#01	F-1619	RD-0001	derived-from	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/home-care/repositories/homecareservice.repository.ts:8–13`	HomeCareService repository has no service-specific query/projection boundary; inherited generic operations can expose unreviewed catalog records.
F-1622#01	F-1622	RD-0001	blocked-by-decision	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/home-care/repositories/homecareservice.repository.ts:8–13`	No region/city/radius, nurse availability, capacity or scheduling serviceability boundary is defined.
F-1624#01	F-1624	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/home-care/repositories/homecareservice.repository.ts:8–13`	No Arabic/English/content-review or locale fallback contract is enforced for patient-facing home-care service data.
F-1651#01	F-1651	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/home-care/repositories/homecarebooking.repository.ts:8–13`	No repository-specific query bounds, pagination or index contract is visible for potentially large booking history and operational searches.
F-1673#01	F-1673	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/care/repositories/appointment.repository.ts:8–13`	No repository-specific query bounds, pagination or index contract is visible for appointment history and operational searches.
F-1688#01	F-1688	RD-0001	unverified-runtime	P0	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/care/repositories/facility.repository.ts:8–13`	Facility repository has no license/registration/readiness/approval gate; inherited generic operations can expose or schedule against unverified facilities.
F-1691#01	F-1691	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/care/repositories/facility.repository.ts:8–13`	No provider/service/specialty linkage or credential-readiness validation is enforced for facility offerings.
F-1697#01	F-1697	RD-0001	derived-from	P1	P0	catalog/quote	catalog/provenance/publication	Backend	`src/modules/care/repositories/facility.repository.ts:8–13`	No repository-specific query bounds, pagination or index contract is visible for facility and service searches.
