file	line	text
app/[locale]/insurance/page.tsx	7	import { parseInsuranceSummary } from "@/lib/api/insurance";
app/[locale]/medicine-catalog/medicine-catalog-ssr.test.ts	4	const state = vi.hoisted(() => ({ getPublicMedicines: vi.fn() }));
app/[locale]/medicine-catalog/medicine-catalog-ssr.test.ts	8	vi.mock("@/lib/api/public-medicines-server", () => ({ getPublicMedicines: state.getPublicMedicines }));
app/[locale]/medicine-catalog/medicine-catalog-ssr.test.ts	13	beforeEach(() => state.getPublicMedicines.mockReset());
app/[locale]/medicine-catalog/medicine-catalog-ssr.test.ts	16	state.getPublicMedicines.mockResolvedValue(new Response(JSON.stringify([{ id: "published-medicine", name_en: "Published medicine", active_ingredient: "Ingredient", price: 99, patient_id: "private-patient" }]), { status: 200 }));
app/[locale]/medicine-catalog/medicine-catalog-ssr.test.ts	20	expect(state.getPublicMedicines).toHaveBeenCalledWith({ page: 1 });
app/[locale]/medicine-catalog/medicine-catalog-ssr.test.ts	28	state.getPublicMedicines.mockResolvedValue(new Response(JSON.stringify([{ id: "published-medicine", name_en: "Published medicine", active_ingredient: "باراسيتامول 500 مجم" }]), { status: 200 }));
app/[locale]/medicine-catalog/page.tsx	4	import { extractMedicineRows, parseMedicineSearch } from "@/lib/api/medicines";
app/[locale]/medicine-catalog/page.tsx	5	import { getPublicMedicines } from "@/lib/api/public-medicines-server";
app/[locale]/medicine-catalog/page.tsx	38	const response = await getPublicMedicines(search);
app/[locale]/medicines/medicines-ssr.test.ts	6	getPublicMedicine: vi.fn(),
app/[locale]/medicines/medicines-ssr.test.ts	14	vi.mock("@/lib/api/medicines-server", () => ({ getPatientMedicines: state.getPatientMedicines }));
app/[locale]/medicines/medicines-ssr.test.ts	15	vi.mock("@/lib/api/public-medicines-server", () => ({ getPublicMedicine: state.getPublicMedicine }));
app/[locale]/medicines/medicines-ssr.test.ts	26	state.getPublicMedicine.mockReset();
app/[locale]/medicines/medicines-ssr.test.ts	42	state.getPublicMedicine.mockResolvedValue(new Response(JSON.stringify({ id: medicineId, name_en: "Catalog medicine", active_ingredient: "Ingredient", price: 99, patient_id: "private-patient" }), { status: 200 }));
app/[locale]/medicines/medicines-ssr.test.ts	46	expect(state.getPublicMedicine).toHaveBeenCalledWith(medicineId);
app/[locale]/medicines/page.tsx	4	import { extractMedicineRows, parseMedicineSearch } from "@/lib/api/medicines";
app/[locale]/medicines/page.tsx	5	import { getPatientMedicines } from "@/lib/api/medicines-server";
app/[locale]/mental-health/page.tsx	5	import { getPatientWellbeingDashboard } from "@/lib/api/mental-health-server";
app/[locale]/mental-health/page.tsx	6	import { parseWellbeingDashboard } from "@/lib/api/mental-health";
app/[locale]/notifications/notifications-ssr.test.ts	10	vi.mock("@/lib/api/notifications-server", () => ({ getPatientNotifications: state.getPatientNotifications }));
app/[locale]/notifications/page.tsx	5	import { extractPatientNotifications } from "@/lib/api/notifications";
app/[locale]/notifications/page.tsx	6	import { getPatientNotifications } from "@/lib/api/notifications-server";
app/[locale]/orders/orders-ssr.test.ts	3	const state = vi.hoisted(() => ({ callPatientApi: vi.fn(), requirePatientAccess: vi.fn() }));
app/[locale]/orders/orders-ssr.test.ts	8	vi.mock("@/lib/api/upstream", () => ({ callPatientApi: state.callPatientApi }));
app/[locale]/orders/orders-ssr.test.ts	14	describe("orders SSR boundary and visual card", () => { beforeEach(() => { state.requirePatientAccess.mockReset().mockResolvedValue(serverToken); state.callPatientApi.mockReset(); }); it("renders the order card through BFF without embedding the session token", async () => { state.callPatientApi.mockResolvedValue(new Response(JSON.stringify({ data: [{ id: orderId, reference: "Order-123", status: "CONFIRMED" }] }), { status: 200 })); const html = renderToStaticMarkup(await OrdersPage({ params: Promise.resolve({ locale: "ar" }) })); expect(state.callPatientApi).toHaveBeenCalledWith("/patient/pharmacy/orders", {}, serverToken); expect(html).toContain("Order-123"); expect(html).toContain(`/ar/orders/${orderId}`); expect(html).not.toContain(serverToken); }); });
app/[locale]/orders/orders-ssr.test.ts	16	describe("order detail SSR boundary", () => { beforeEach(() => { state.requirePatientAccess.mockReset().mockResolvedValue(serverToken); state.callPatientApi.mockReset(); }); it("renders only the allowlisted order summary without customer, address, price, or token", async () => { state.callPatientApi.mockResolvedValue(new Response(JSON.stringify({ data: { id: orderId, reference: "Order-123", status: "CONFIRMED", patient_name: "private-customer", delivery_address: "private-address", total_price: 500 } }), { status: 200 })); const html = renderToStaticMarkup(await OrderDetailPage({ params: Promise.resolve({ locale: "en", orderId }) })); expect(state.callPatientApi).toHaveBeenCalledWith(`/patient/pharmacy/orders/${orderId}`, {}, serverToken); expect(html).toContain("Order-123"); expect(html).toContain("CONFIRMED"); expect(html).toContain('href="/en/orders"'); for (const secret of [serverToken, "private-customer", "private-address", "500"]) expect(html).not.toContain(secret); }); });
app/[locale]/orders/orders-ssr.test.ts	18	describe("order tracking SSR boundary", () => { beforeEach(() => { state.requirePatientAccess.mockReset().mockResolvedValue(serverToken); state.callPatientApi.mockReset(); }); it("renders tracking status only from the authorized backend and never serializes private payloads", async () => { state.callPatientApi.mockResolvedValue(new Response(JSON.stringify({ data: { state: "OUT_FOR_DELIVERY", pharmacy_name: "Sandbox Pharmacy", delivery: { eta_minutes: 24 }, total: 18, delivery_address: "private-address", patient_notes: "private-notes", prescription_attachments: ["private-file"] } }), { status: 200 })); const html = renderToStaticMarkup(await OrderTrackingPage({ params: Promise.resolve({ locale: "en", orderId }) })); expect(state.callPatientApi).toHaveBeenCalledWith(`/orders/${orderId}/tracking`, {}, serverToken); expect(html).toContain("OUT_FOR_DELIVERY"); expect(html).toContain("Sandbox Pharmacy");
app/[locale]/orders/page.tsx	5	import { callPatientApi } from "@/lib/api/upstream";
app/[locale]/orders/page.tsx	6	import { extractOrderRows } from "@/lib/api/orders";
app/[locale]/orders/page.tsx	31	const response = await callPatientApi("/patient/pharmacy/orders", {}, token);
app/[locale]/prescriptions/page.tsx	3	import { extractPrescriptionSummaries } from "@/lib/api/prescriptions";
app/[locale]/prescriptions/page.tsx	4	import { getPatientPrescriptions } from "@/lib/api/prescriptions-server";
app/[locale]/prescriptions/prescriptions-ssr.test.ts	10	vi.mock("@/lib/api/prescriptions-server", () => ({ getPatientPrescriptions: state.getPatientPrescriptions }));
app/[locale]/profile/page.tsx	4	import { callPatientApi } from "@/lib/api/upstream";
app/[locale]/profile/page.tsx	5	import { extractRecord, profileDomainState, readProfileFields, type ProfileDomainState, type ProfileField } from "@/lib/api/profile";
app/[locale]/profile/page.tsx	29	callPatientApi("/users/me/profile", {}, token),
app/[locale]/profile/page.tsx	30	callPatientApi("/medical-profile", {}, token),
app/[locale]/profile/page.tsx	31	callPatientApi("/users/me/insurance", {}, token)
app/[locale]/profile/profile-page-ssr.test.ts	11	vi.mock("@/lib/api/upstream", () => ({ callPatientApi: async () => state.responses.shift()! }));
app/[locale]/reminders/page.tsx	4	import { extractMedicationReminderSummaries } from "@/lib/api/reminders";
app/[locale]/reminders/page.tsx	5	import { getPatientMedicationReminders } from "@/lib/api/reminders-server";
app/[locale]/reminders/reminders-ssr.test.ts	10	vi.mock("@/lib/api/reminders-server", () => ({ getPatientMedicationReminders: state.getPatientMedicationReminders }));
app/[locale]/settings/page.tsx	4	import { getPatientPrivacySettings, getPatientSecuritySettings, getPatientSessions, getPatientStorage } from "@/lib/api/settings-server";
app/[locale]/settings/page.tsx	5	import { parsePrivacySettings, parseSecuritySettings, parseSessions, parseStorageSummary } from "@/lib/api/settings";
app/[locale]/appointments/[appointmentId]/page.tsx	4	import { extractAppointmentDetail, parseAppointmentId } from "@/lib/api/appointments";
app/[locale]/appointments/[appointmentId]/page.tsx	5	import { getPatientAppointment } from "@/lib/api/appointments-server";
app/[locale]/articles/[slug]/page.tsx	5	import { getPublicArticle } from "@/lib/api/articles-server";
app/[locale]/articles/[slug]/page.tsx	6	import { articleSlug, parseArticle } from "@/lib/api/articles";
app/[locale]/articles/[slug]/page.tsx	11	export default async function ArticlePage({params}:Props){const {locale,slug}=await params;if(!isLocale(locale)||!articleSlug(slug))notFound();setRequestLocale(locale);const t=await getTranslations("Articles");const response=await getPublicArticle(slug);if(response?.status===404)notFound();if(!response||!response.ok)return <main className="main"><section className={styles.state} role="alert"><h1>{t("unavailableTitle")}</h1><p>{t("unavailable")}</p><RetryButton/></section></main>;const article=parseArticle(await response.json().catch(()=>null));if(!article)notFound();const title=locale==="ar"?article.titleAr||article.titleEn||t("untitled"):article.titleEn||article.titleAr||t("untitled");const excerpt=locale==="ar"?article.excerptAr||article.excerptEn:article.excerptEn||article.excerptAr;return <main className={`main ${styles.page}`}><Link className={styles.back} href={`/${locale}/articles`}><ChevronLeft size={17} aria-hidden="true"/>{t("back")}</Link><section className={styles.hero}><p className={styles.eyebrow}><ShieldCheck size={15} aria-hidden="true"/>{t("eyebrow")}</p><h1>{title}</h1><p>{excerpt||t("excerptUnavailable")}</p></section><section className={styles.notice}><FileText size={20} aria-hidden="true"/><p>{t("bodyHidden")}</p></section></main>}
app/[locale]/articles/bookmarks/page.tsx	5	import { getPatientArticleBookmarks } from "@/lib/api/articles-server";
app/[locale]/articles/bookmarks/page.tsx	6	import { parseArticleList } from "@/lib/api/articles";
app/[locale]/cart/checkout/page.tsx	5	import { callPatientApi } from "@/lib/api/upstream";
app/[locale]/cart/checkout/page.tsx	6	import { extractCartSummary } from "@/lib/api/cart";
app/[locale]/cart/checkout/page.tsx	20	const response = await callPatientApi("/cart/checkout", {}, token);
app/[locale]/cart/prescription/page.tsx	5	import { callPatientApi } from "@/lib/api/upstream";
app/[locale]/cart/prescription/page.tsx	19	const response = await callPatientApi("/cart/prescription", {}, token);
app/[locale]/chat/[threadId]/page.tsx	5	import { extractChatMessageSummaries, extractChatThreadSummaries } from "@/lib/api/chat";
app/[locale]/chat/[threadId]/page.tsx	6	import { getPatientChatMessages, getPatientChatThread } from "@/lib/api/chat-server";
app/[locale]/diagnostics/labs/page.tsx	5	import { extractLabServices } from "@/lib/api/labs";
app/[locale]/diagnostics/labs/page.tsx	6	import { getPublicLabServices } from "@/lib/api/labs-server";
app/[locale]/diagnostics/labs/page.tsx	18	const response = await getPublicLabServices({ search, homeOnly });
app/[locale]/diagnostics/labs/labs-ssr.test.ts	3	const state = vi.hoisted(() => ({ getPublicLabServices: vi.fn() }));
app/[locale]/diagnostics/labs/labs-ssr.test.ts	4	vi.mock("@/lib/api/labs-server", () => ({ getPublicLabServices: state.getPublicLabServices }));
app/[locale]/diagnostics/labs/labs-ssr.test.ts	21	state.getPublicLabServices.mockResolvedValue(new Response(JSON.stringify([{ id: "cbc", name_en: "CBC", price: 20 }]), { status: 200 }));
app/[locale]/diagnostics/labs/labs-ssr.test.ts	24	expect(state.getPublicLabServices).toHaveBeenCalledWith({ search: "", homeOnly: false });
app/[locale]/diagnostics/labs/labs-ssr.test.ts	27	state.getPublicLabServices.mockResolvedValue(new Response("", { status: 503 }));
app/[locale]/diagnostics/packages/page.tsx	5	import { extractLabServices } from "@/lib/api/labs";
app/[locale]/diagnostics/packages/page.tsx	6	import { getPublicLabServices } from "@/lib/api/labs-server";
app/[locale]/diagnostics/packages/page.tsx	17	const response = await getPublicLabServices({ search, category });
app/[locale]/diagnostics/packages/labs-packages-ssr.test.ts	3	const state = vi.hoisted(() => ({ getPublicLabServices: vi.fn(), getPublicLabPackage: vi.fn() }));
app/[locale]/diagnostics/packages/labs-packages-ssr.test.ts	4	vi.mock("@/lib/api/labs-server", () => ({ getPublicLabServices: state.getPublicLabServices, getPublicLabPackage: state.getPublicLabPackage }));
app/[locale]/diagnostics/packages/labs-packages-ssr.test.ts	31	state.getPublicLabServices.mockResolvedValue(new Response(JSON.stringify([{ id: "pkg-1", name_en: "Wellness panel", is_package: true, included_services: ["cbc"] }]), { status: 200 }));
app/[locale]/diagnostics/packages/labs-packages-ssr.test.ts	37	state.getPublicLabPackage.mockResolvedValue(new Response(JSON.stringify({ id: "pkg-1", name_en: "Wellness panel", is_package: true, price: 120, included_services: ["cbc", "tsh"], preparation_en: ["Bring your request"] }), { status: 200 }));
app/[locale]/diagnostics/radiology/page.tsx	5	import { extractRadiologyServices } from "@/lib/api/radiology";
app/[locale]/diagnostics/radiology/page.tsx	6	import { getPublicRadiologyModalities, getPublicRadiologyServices } from "@/lib/api/radiology-server";
app/[locale]/diagnostics/radiology/page.tsx	16	const servicesResponse = getPublicRadiologyServices({ modality, bodyPart, search, homeVisit: on(query.home_visit) ? "true" : undefined, homeOnly: on(query.home_only) ? "true" : undefined, highestRated: on(query.highest_rated) ? "true" : undefined, nearest: on(query.nearest) ? "true" : undefined, lowestPrice: on(query.lowest_price) ? "true" : undefined });
app/[locale]/diagnostics/radiology/page.tsx	17	const modalitiesResponse = getPublicRadiologyModalities(); const [servicesResult, modalitiesResult] = await Promise.all([servicesResponse, modalitiesResponse]);
app/[locale]/diagnostics/radiology/radiology-ssr.test.ts	3	vi.mock("@/lib/api/radiology-server", () => ({ getPublicRadiologyServices: state.services, getPublicRadiologyModalities: state.modalities }));
app/[locale]/diagnostics/[domain]/[bookingId]/page.tsx	4	import { extractDiagnosticBooking, parseDiagnosticBookingId, parseDiagnosticDomain } from "@/lib/api/diagnostics";
app/[locale]/diagnostics/[domain]/[bookingId]/page.tsx	5	import { getDiagnosticBooking } from "@/lib/api/diagnostics-server";
app/[locale]/diagnostics/packages/[packageId]/page.tsx	5	import { extractLabService, parseLabServiceId } from "@/lib/api/labs";
app/[locale]/diagnostics/packages/[packageId]/page.tsx	6	import { getPublicLabPackage } from "@/lib/api/labs-server";
app/[locale]/diagnostics/packages/[packageId]/page.tsx	17	const response = await getPublicLabPackage(packageId);
app/[locale]/health/chronic-diseases/page.tsx	5	import { getPatientChronicDiseases } from "@/lib/api/chronic-server";
app/[locale]/health/chronic-diseases/page.tsx	6	import { parseChronicDiseases } from "@/lib/api/chronic";
app/[locale]/health/chronic-medications/page.tsx	5	import { getPatientChronicMedications } from "@/lib/api/chronic-meds-server";
app/[locale]/health/chronic-medications/page.tsx	6	import { parseChronicMedications } from "@/lib/api/chronic-meds";
app/[locale]/health/emergency-contacts/page.tsx	5	import { getPatientEmergencyContacts } from "@/lib/api/emergency-contacts-server";
app/[locale]/health/emergency-contacts/page.tsx	6	import { parseEmergencyContacts } from "@/lib/api/emergency-contacts";
app/[locale]/health/reports/page.tsx	4	import { getPatientReports } from "@/lib/api/vitals-server";
app/[locale]/health/reports/page.tsx	5	import { parseReports } from "@/lib/api/reports";
app/[locale]/health/score/page.tsx	5	import { getPatientHealthScore } from "@/lib/api/vitals-server";
app/[locale]/health/score/page.tsx	6	import { parseHealthScore } from "@/lib/api/health-score";
app/[locale]/health/sleep/page.tsx	5	import { getPatientSleepReadings } from "@/lib/api/sleep-server";
app/[locale]/health/sleep/page.tsx	6	import { parseSleepReadings } from "@/lib/api/sleep";
app/[locale]/health/trends/page.tsx	5	import { getPatientHealthTrends } from "@/lib/api/trends-server";
app/[locale]/health/trends/page.tsx	6	import { parseHealthTrends } from "@/lib/api/trends";
app/[locale]/health/vitals/page.tsx	5	import { extractVitalHistory } from "@/lib/api/vitals";
app/[locale]/health/vitals/page.tsx	6	import { getPatientVitalHistory } from "@/lib/api/vitals-server";
app/[locale]/home-care/services/page.tsx	5	import { extractHomeCareServices } from "@/lib/api/home-care-services";
app/[locale]/home-care/services/page.tsx	6	import { getPublicHomeCareServices } from "@/lib/api/home-care-services-server";
app/[locale]/home-care/services/page.tsx	16	const response = await getPublicHomeCareServices();
app/[locale]/home-care/services/services-ssr.test.ts	7	vi.mock("@/lib/api/home-care-services-server", () => ({ getPublicHomeCareServices: state.list, getPublicHomeCareService: state.detail }));
app/[locale]/home-care/services/[serviceId]/page.tsx	5	import { extractHomeCareService } from "@/lib/api/home-care-services";
app/[locale]/home-care/services/[serviceId]/page.tsx	6	import { getPublicHomeCareService } from "@/lib/api/home-care-services-server";
app/[locale]/home-care/services/[serviceId]/page.tsx	13	const t = await getTranslations("HomeCareServices"); const response = await getPublicHomeCareService(serviceId);
app/[locale]/medicines/[medicineId]/medicine-detail-public-ssr.test.ts	4	const state = vi.hoisted(() => ({ getPublicMedicine: vi.fn() }));
app/[locale]/medicines/[medicineId]/medicine-detail-public-ssr.test.ts	11	vi.mock("@/lib/api/public-medicines-server", () => ({ getPublicMedicine: state.getPublicMedicine }));
app/[locale]/medicines/[medicineId]/medicine-detail-public-ssr.test.ts	18	beforeEach(() => state.getPublicMedicine.mockReset());
app/[locale]/medicines/[medicineId]/medicine-detail-public-ssr.test.ts	21	state.getPublicMedicine.mockResolvedValue(new Response(JSON.stringify({
app/[locale]/medicines/[medicineId]/medicine-detail-public-ssr.test.ts	37	expect(state.getPublicMedicine).toHaveBeenCalledWith("published-medicine");
app/[locale]/medicines/[medicineId]/medicine-detail-public-ssr.test.ts	47	state.getPublicMedicine.mockResolvedValue(new Response(JSON.stringify({ data: { id: "published-medicine", name_en: "Published medicine" } }), { status: 200 }));
app/[locale]/medicines/[medicineId]/page.tsx	5	import { extractMedicineDetail, parseMedicineId } from "@/lib/api/medicines";
app/[locale]/medicines/[medicineId]/page.tsx	6	import { getPublicMedicine } from "@/lib/api/public-medicines-server";
app/[locale]/medicines/[medicineId]/page.tsx	19	const response = await getPublicMedicine(medicineId);
app/[locale]/medicines/[medicineId]/page.tsx	45	const response = await getPublicMedicine(medicineId);
app/[locale]/mental-health/breathing/page.tsx	5	import { parseBreathingHistory } from "@/lib/api/breathing";
app/[locale]/mental-health/breathing/page.tsx	6	import { getPatientBreathingHistory } from "@/lib/api/breathing-server";
app/[locale]/mental-health/crisis-contacts/page.tsx	5	import { parseCrisisContacts } from "@/lib/api/crisis-contacts";
app/[locale]/mental-health/crisis-contacts/page.tsx	6	import { getPatientCrisisContacts } from "@/lib/api/crisis-contacts-server";
app/[locale]/mental-health/meditation/page.tsx	5	import { parseMeditationHistory } from "@/lib/api/meditation";
app/[locale]/mental-health/meditation/page.tsx	6	import { getPatientMeditationHistory } from "@/lib/api/meditation-server";
app/[locale]/mental-health/mood/page.tsx	5	import { parseMoodHistory } from "@/lib/api/mood";
app/[locale]/mental-health/mood/page.tsx	6	import { getPatientMoodHistory } from "@/lib/api/mood-server";
app/[locale]/notifications/settings/page.tsx	4	import { getPatientNotificationSettings } from "@/lib/api/notification-settings-server";
app/[locale]/notifications/settings/page.tsx	5	import { extractNotificationSettings } from "@/lib/api/notification-settings";
app/[locale]/orders/[orderId]/page.tsx	4	import { callPatientApi } from "@/lib/api/upstream";
app/[locale]/orders/[orderId]/page.tsx	5	import { extractOrderDetail, parseOrderId } from "@/lib/api/orders";
app/[locale]/orders/[orderId]/page.tsx	20	const response = await callPatientApi(`/patient/pharmacy/orders/${orderId}`, {}, token);
app/[locale]/orders/[orderId]/tracking/page.tsx	5	import { callPatientApi } from "@/lib/api/upstream";
app/[locale]/orders/[orderId]/tracking/page.tsx	6	import { extractOrderTracking, parseOrderId } from "@/lib/api/orders";
app/[locale]/orders/[orderId]/tracking/page.tsx	20	const response = await callPatientApi(`/orders/${orderId}/tracking`, {}, token);
app/[locale]/consultations/specialties/page.tsx	5	import { extractSpecialties } from "@/lib/api/specialties";
app/[locale]/consultations/specialties/page.tsx	6	import { getPublicSpecialties } from "@/lib/api/specialties-server";
app/[locale]/consultations/specialties/page.tsx	18	const response = await getPublicSpecialties();
app/[locale]/consultations/specialties/specialties-ssr.test.ts	4	const state = vi.hoisted(() => ({ getPublicSpecialties: vi.fn() }));
app/[locale]/consultations/specialties/specialties-ssr.test.ts	8	vi.mock("@/lib/api/specialties-server", () => ({ getPublicSpecialties: state.getPublicSpecialties }));
app/[locale]/consultations/specialties/specialties-ssr.test.ts	13	beforeEach(() => state.getPublicSpecialties.mockReset());
app/[locale]/consultations/specialties/specialties-ssr.test.ts	16	state.getPublicSpecialties.mockResolvedValue(new Response(JSON.stringify({ data: [{ slug: "cardiology", name_ar: "قلب", name_en: "Cardiology", count: 7, patient_id: "private-patient" }] }), { status: 200 }));
app/[locale]/consultations/specialties/specialties-ssr.test.ts	25	state.getPublicSpecialties.mockResolvedValue(null);
app/[locale]/consultations/doctors/page.tsx	5	import { extractDoctors } from "@/lib/api/doctors";
app/[locale]/consultations/doctors/page.tsx	6	import { getPublicDoctors } from "@/lib/api/doctors-server";
