screen_id	mobile_route	domain	source_path	sha256	line_count	action_signal_lines	state_signal_lines	screen_review_status	cta_inventory_status	scenario_matrix_status	web_equivalent_status	contract_status	data_source_status	mock_placeholder_disposition	gap_disposition
PM-011	(onboarding)/language	onboarding	app/(onboarding)/language.tsx	9aa06113ba8133da4b19cc32b57bcd1535086abef8cfb1fb8105f25d69578979	70	40,58	NONE	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-012	(onboarding)/permissions	onboarding	app/(onboarding)/permissions.tsx	2d6f2cf481cfda507ab2a3691275ff598f1b0ea443ac74cebd405941906389d5	221	74,101,173,175	172	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-013	(tabs)/consultations/index	tabs	app/(tabs)/consultations/index.tsx	51b28ba195cde72b00245dadc37e7409a83b4ed147181c8cd39c5af71e0fbc19	696	33,35,220,231,241,244,247,257,260,270,286,293,360,374,378,402,412,482,490,502,506,515,524,533,542,551,557,572,579,588,597,610,653	44,105,116,143	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-014	(tabs)/diagnostics	tabs	app/(tabs)/diagnostics.tsx	aece3dbcb0066d8facc28dbb2a30ccacf24ecbf748358500fa077e68efa05420	488	96,118,122,131,139,150,158,180,188,207,215,248,270,291,306,328,358,374,394,410,428	35,78,188	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-015	(tabs)/health	tabs	app/(tabs)/health.tsx	2566ca913a46c198f6264f3d8b43394a81ab2675305fce63f9da2a3222781e05	442	150,161,182,210,257,267,314,343,346,347	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-016	(tabs)/index	tabs	app/(tabs)/index.tsx	e8aacaa6054fed454843a28ebc482f760efab61ca4bee93a7ebbee89895cb2dc	120	76,78,85,89,90,91,92,93,94,97,98,102,103,106,107,109,110,115,116,117	26,72,85,119	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-017	(tabs)/nursing	tabs	app/(tabs)/nursing.tsx	3329c1a3e27bc3e55a74c7412b95ffa03e8f0a7ce28216a57734f259fa8de113	323	91,99,113,131,139,156,192,210,221,227,235,236,237,242,243,249,250,251,252,256	32,51,52,131,133,134,135	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-018	(tabs)/pharmacy	tabs	app/(tabs)/pharmacy.tsx	644fa36e715a437e734b75e70b2533acc36526965a3d948bb29ea1759c9748d1	610	236,248,259,276,300,330,374,391,415,419,424,448,483,487,492,538	61,300,363,374	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-019	(tabs)/services	tabs	app/(tabs)/services.tsx	d481cd70486f95736262df9376562f8cbde45220c0e1303f4f3c72fecab2ef26	221	122,168	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-020	ai-assistant	root	app/ai-assistant.tsx	d5ec29fd132bbd7fa3fe44103da767388ca4aa8819baf06cbfc7bf2ccdc64f5b	211	135,150	30,35,61,62	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-021	ai/chat-doctor	ai	app/ai/chat-doctor.tsx	c3d88bd152314fbd0a74a0b364f2484eb5ee0a87a146b68efd5cf21c7c798f3f	7	5	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-022	ai/monthly-report	ai	app/ai/monthly-report.tsx	74af27b4961e4381e7dbaf371d65da3c1ac80c1c87940317470c2f98d5960c40	264	86,105,115,173,191,229,232	27,72,102	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-023	ai/prescription-translator	ai	app/ai/prescription-translator.tsx	b8ab5a6b7ab87e466e5aa40a1355b7627c77b50e267b18208962762e2cb56f67	292	76,77,138,145,149,183,239,240,248,259,260,264	78,119,122,149	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-024	ai/skin-analysis	ai	app/ai/skin-analysis.tsx	98b4e44c02fd836bc823693531b2e362f6ed8747975379994880f810c15df966	52	45,48	24,48,51	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-025	ai/symptom-checker	ai	app/ai/symptom-checker.tsx	3457203e1fdd0225811eb9a2f579606ecaedc8a32e75fad05bfc5732ce2e8803	7	5	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-026	ai/symptom-timeline	ai	app/ai/symptom-timeline.tsx	7b9b32e4a32be722c6739045312d735793d567d9859fae3bdd3db4b65a1e9d16	7	5	NONE	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-027	ai/triage	ai	app/ai/triage.tsx	e4351c0c162ea0a8b5396a28726d0601b62a9ec51df304befe83f43251970fcf	79	51,57,61,67,71,73	26,72,78	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-028	articles/[slug]	articles	app/articles/[slug].tsx	e35a6ae3ba41b44894f68bbf9f1999cfba23f43d77c21b186a9f1844e641e1fb	200	84,103,104,109,164	28,29,40,71,79,83	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-029	articles/bookmarks	articles	app/articles/bookmarks.tsx	80f15ba95db7a0c7dedeb35274267e9e62d58cd45048515a7c6b574fbec8787a	119	59,70,78,86	25,26,62,66,69	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-030	articles/index	articles	app/articles/index.tsx	d8c8a8004295468bf49b392951ff83db0063df167470f69ac960e3632068aa99	215	86,88,115,141,158	33,34,133,137,140	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-031	community/hub	community	app/community/hub.tsx	4cfbdd96ccfa0337517d045ba3afb357d0dd177aab6eb08e1e5b3ec0f0e6d491	314	98,107,143,171,172,238,260,264	37,63,112,215	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-032	community/post-detail	community	app/community/post-detail.tsx	6ab5a01586714384cbb518eda3d18cfc8c7a102e8c9d42637f58c467bdf7b68c	371	132,178,189,194,257	37,58,98,198	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_YET_MANUALLY_REVIEWED	NOT_MAPPED	NOT_RECONCILED	NOT_REVIEWED	NOT_REVIEWED	NOT_DECIDED
PM-033	consultations/appointment-detail	consultations	app/consultations/appointment-detail.tsx	11c1bdd694b610cca1385e483a052518db3882940c50209d9b7d865c65bc0c70	278	71,86,127,142,183,188,192,201,207,217,227	19,37,61,183,184,188,190,201,202,203	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-034	consultations/appointments	consultations	app/consultations/appointments.tsx	c6144066411f0eff564346557570aadc78c5eaa7740a48c296bb8ac639fa51b6	438	78,92,138,162,186,187,265,266,279,280,299,300	47,48,117,128,132,154,155,267,271,273,355	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-035	consultations/book/[id]	consultations	app/consultations/book/[id].tsx	cdc084345b7fb456716faba3cd583ab70a924a6359ca9d2ac8835d4bcba40d31	386	158,192,193,205,241,267,301,329,334,365	114,145,176	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-036	consultations/booking-confirm	consultations	app/consultations/booking-confirm.tsx	7c47744bd49e27de445602514a33f1cdaffb2d54373b3f9879484a647c83a686	473	122,123,216,234,241,263,283,350,357,371,438,452	14,32,36,46,61,98,111,123,152,155,165,166,171,190,191,192,205,226,228,234,236,315,318,324,329,334,350,417,418,447,449,450,451	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-037	consultations/booking-pending	consultations	app/consultations/booking-pending.tsx	ec8a97de6bfb93c5ee2b7cb451915e8e4a834754e627a768eac021edec8a7a19	216	52,54,56,105,137,138,200,203	102,104,108,128,187,192,199	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-038	consultations/booking-success	consultations	app/consultations/booking-success.tsx	53a9136da667815163a044bb02e7cbff71f9fb832a4a7707282b9baa7ce86124	363	54,58,62,260,283	89	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-039	consultations/call-history	consultations	app/consultations/call-history.tsx	acf319e53b7eedb3359d1c3d94864b67a3124ea9403f705c577f93732c022f4c	356	87,181,233	40,76,132,236	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-040	consultations/cancel-reschedule	consultations	app/consultations/cancel-reschedule.tsx	bd00d43ece07dc3afc6919b7f70372e585c7498fc392b4fb97262624e89676c2	326	112,123,136,157,191,199,213,233,266,280,292	30,104,105,155,181,182,183,186,199,207,214,215,216,235	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
PM-041	consultations/chat-with-doctor	consultations	app/consultations/chat-with-doctor.tsx	6795062ac122a38d40b2386a2f24863db9ca8bbc3160afa01460e6f26573878f	219	143,195	28,134	MANUALLY_REVIEWED__FINDINGS_RECORDED	MANUALLY_REVIEWED__CTA_EVIDENCE_SEE_DOMAIN_REVIEW	MANUALLY_REVIEWED__STATE_AND_FINANCIAL_GAPS_RECORDED	NOT_YET_RECONCILED__MOBILE_REFERENCE_UNTRUSTED	MANUAL_STATIC_REVIEW__BACKEND_RECONCILIATION_REQUIRED	MANUALLY_REVIEWED__MIXED_SERVER_AND_CLIENT_DERIVATION	MANUALLY_REVIEWED__STATIC_OR_PARAM_DRIVEN_RESULTS_RECORDED	MANUAL_REVIEW_COMPLETE__FINDINGS_OR_CONTRACT_GAPS_RECORDED
