surface	journey	journey_definition	static_term_hits	static_presence	runtime_status	required_validation
patient-web	Family/Health	family member → consent/delegation → health record/vitals/maternity/mental health → notification	family;health;vital;maternity;mental;consent;notification	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-web	Prescription/Chat/Support	prescription → upload/read → chat/support/community → notification/result	prescription;chat;support;message;notification;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-web	Wallet/Insurance/Payment	wallet/invoice → cash/card/insurance/co-pay → refund/ledger/receipt	wallet;payment;invoice;refund;insurance;copay;ledger	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
patient-web	Settings/Accessibility/Location	language/RTL → accessibility → map/location/emergency → notifications	settings;language;locale;rtl;accessibility;map;location;emergency;notification	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
provider	Pharmacy	cart → submit order → pharmacy broadcast → offers → selected offer → cash card/COD or insurance approval/co-pay → preparation → delivery/pickup → cancel/refund/tracking	pharmacy;order;insurance;cash;refund;delivery	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
provider	Consultation	online/clinic/home → doctor → slot → cash or insurance/co-pay → confirmation → reschedule/cancel/no-show/video/report	consult;appointment;booking;doctor;cash;insurance;reschedule;cancel;video;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
provider	Labs	home/center → provider → appointment → cash or insurance/co-pay → execution → result/report → PHI protection	lab;booking;insurance;cash;result;report;upload	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
provider	Radiology	home/center → provider → appointment → cash or insurance/co-pay → execution → report → PHI protection	radiology;booking;insurance;cash;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
provider	Nursing/Home-care	home service → provider/visit → cash or insurance/co-pay → execution → report/cancel	nursing;home-care;visit;insurance;cash;cancel	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
provider	Identity/OTP/Roles	login/register → OTP/session → role/ownership boundary → logout/revocation	login;register;otp;auth;session;token;logout;role;permission	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
provider	Family/Health	family member → consent/delegation → health record/vitals/maternity/mental health → notification	health;vital;notification	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
provider	Prescription/Chat/Support	prescription → upload/read → chat/support/community → notification/result	prescription;chat;support;message;notification;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
provider	Wallet/Insurance/Payment	wallet/invoice → cash/card/insurance/co-pay → refund/ledger/receipt	wallet;payment;invoice;refund;insurance;copay;ledger	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
provider	Settings/Accessibility/Location	language/RTL → accessibility → map/location/emergency → notifications	settings;language;accessibility;map;location;emergency;notification	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
admin	Pharmacy	cart → submit order → pharmacy broadcast → offers → selected offer → cash card/COD or insurance approval/co-pay → preparation → delivery/pickup → cancel/refund/tracking	cart;pharmacy;order;insurance;cash;refund	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
admin	Consultation	online/clinic/home → doctor → slot → cash or insurance/co-pay → confirmation → reschedule/cancel/no-show/video/report	consult;appointment;booking;doctor;cash;insurance;cancel;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
admin	Labs	home/center → provider → appointment → cash or insurance/co-pay → execution → result/report → PHI protection	lab;booking;insurance;cash;result;report;upload	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
admin	Radiology	home/center → provider → appointment → cash or insurance/co-pay → execution → report → PHI protection	radiology;booking;insurance;cash;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
admin	Nursing/Home-care	home service → provider/visit → cash or insurance/co-pay → execution → report/cancel	nursing;home-care;insurance;cash;cancel	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
admin	Identity/OTP/Roles	login/register → OTP/session → role/ownership boundary → logout/revocation	login;register;otp;auth;session;token;role;permission	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
admin	Family/Health	family member → consent/delegation → health record/vitals/maternity/mental health → notification	family;health;notification	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
admin	Prescription/Chat/Support	prescription → upload/read → chat/support/community → notification/result	prescription;chat;support;message;notification;report	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
admin	Wallet/Insurance/Payment	wallet/invoice → cash/card/insurance/co-pay → refund/ledger/receipt	wallet;payment;refund;insurance;ledger	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
admin	Settings/Accessibility/Location	language/RTL → accessibility → map/location/emergency → notifications	settings;locale;rtl;map;location;emergency;notification	PRESENT	UNVERIFIED_BASELINE_ONLY	Trace every screen/CTA to API/socket, backend handler/DB/state, payment/insurance decision, notification/result, and owner/stranger/unauth plus loading/empty/error/retry/cancel tests.
