surface	journey	journey_definition	screen_or_route	cta_action	actor	frontend_source_path	frontend_line	request_method_path_or_socket	request_payload_fields	backend_source_path	backend_line	backend_controller_service_dto_schema_state	ownership_role_checks	price_stock_provider_insurance_source	payment_trigger_and_state	provider_admin_step	result_report_notification	happy_state	unauth_state	wrong_role_state	owner_stranger_state	validation_state	error_state	loading_state	empty_state	retry_state	cancel_refund_state	evidence_classification	evidence_note
patient-web	Pharmacy	cart → submit request → broadcast → offers → chosen pharmacy → cash/card or COD policy, or insurance approval/co-pay → preparation → delivery/pickup → cancel/refund/tracking	app/[locale]/home-care/services/page.tsx	MISSING_CAPABILITY	patient	app/[locale]/home-care/services/page.tsx	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/pharmacy/services/smart-split.service.ts	4	* Persists full explainability snapshot on the order's split_decision field.	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/[locale]/home-care/services/page.tsx:` and backend anchor `src/modules/pharmacy/services/smart-split.service.ts:4` are static only; no runtime proof.
patient-web	Consultation	online/clinic/home → doctor → slot → cash confirmation or insurance request/decision/co-pay/payment → reschedule/cancel/no-show/video/report	app/[locale]/consultations/doctors/[doctorId]/page.tsx	"import { extractDoctor, extractDoctorSlots } from ""@/lib/api/doctors"";"	patient	app/[locale]/consultations/doctors/[doctorId]/page.tsx	5	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/livekit/livekit.service.ts	7	import { APPT_STATES } from '../../schemas/appointment.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/[locale]/consultations/doctors/[doctorId]/page.tsx:5` and backend anchor `src/modules/livekit/livekit.service.ts:7` are static only; no runtime proof.
patient-web	Labs	home/center → lab provider → slot → cash confirmation or insurance decision/co-pay → execution → result/report/PHI	app/[locale]/home-care/services/page.tsx	"if (!response || !response.ok) return <main className={`main ${styles.page}`}><section className={styles.state} role=""alert""><HousePlus size={28} aria-hidden=""true"" /><h1>{t(""unavailableTitle"")}</h1><p>{t(""unavailableBod"	patient	app/[locale]/home-care/services/page.tsx	18	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/labs/lab-pdf.service.ts	9	export class LabPdfService {	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/[locale]/home-care/services/page.tsx:18` and backend anchor `src/modules/labs/lab-pdf.service.ts:9` are static only; no runtime proof.
patient-web	Radiology	home/center → radiology provider → slot → cash confirmation or insurance decision/co-pay → execution → report/PHI	app/[locale]/home-care/services/page.tsx	MISSING_CAPABILITY	patient	app/[locale]/home-care/services/page.tsx	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/custom-services/custom-services.controller.ts	N/A	MISSING_CAPABILITY	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/[locale]/home-care/services/page.tsx:` and backend anchor `src/modules/custom-services/custom-services.controller.ts:` are static only; no runtime proof.
patient-web	Nursing/Home-care	home service → provider/visit → cash confirmation or insurance decision/co-pay → execution → report/cancel	app/[locale]/home-care/services/page.tsx	"import { extractHomeCareServices } from ""@/lib/api/home-care-services"";"	patient	app/[locale]/home-care/services/page.tsx	5	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/provider/simulated-features.controller.ts	11	import { HomeCareBooking, HomeCareBookingState, NursingVisitReport } from '../../schemas/home-care.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/[locale]/home-care/services/page.tsx:5` and backend anchor `src/modules/provider/simulated-features.controller.ts:11` are static only; no runtime proof.
patient-web	Identity/OTP/Roles	login/register → OTP/session → ownership/role boundary → logout/revocation	app/api/auth/verify-2fa/route.ts	"import { setSessionCookies } from ""@/lib/auth/cookies"";"	patient	app/api/auth/verify-2fa/route.ts	3	"const upstream = await callPatientApi(""/auth/login/verify-2fa"", { method: ""POST"", headers: { ""content-type"": ""application/json"" }, body: JSON.stringify(input.data) });"	Static payload extraction required; not inferred when absent	src/modules/provider/services/provider-auth.service.ts	1	import { Injectable, BadRequestException, ConflictException, NotFoundException, UnauthorizedException, Logger, Inject } from '@nestjs/common';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	RUNTIME_REQUIRED	Frontend anchor `app/api/auth/verify-2fa/route.ts:3` and backend anchor `src/modules/provider/services/provider-auth.service.ts:1` are static only; no runtime proof.
patient-web	Family/Health	family/delegation/consent → health record/vitals/maternity/mental health → notification	app/[locale]/home-care/services/page.tsx	MISSING_CAPABILITY	patient	app/[locale]/home-care/services/page.tsx	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/family/family.service.ts	16	"import { FamilyGroupRepository } from ""./repositories/familygroup.repository"";"	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/[locale]/home-care/services/page.tsx:` and backend anchor `src/modules/family/family.service.ts:16` are static only; no runtime proof.
patient-web	Prescription/Chat/Support	prescription/read/upload → chat/support/community → notification/result	app/[locale]/home-care/services/page.tsx	MISSING_CAPABILITY	patient	app/[locale]/home-care/services/page.tsx	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/custom-services/custom-services.controller.ts	N/A	MISSING_CAPABILITY	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/[locale]/home-care/services/page.tsx:` and backend anchor `src/modules/custom-services/custom-services.controller.ts:` are static only; no runtime proof.
patient-web	Wallet/Insurance/Payment	wallet/invoice → cash/card/insurance/co-pay → refund/ledger/receipt	app/[locale]/home-care/services/[serviceId]/page.tsx	"return <main className={`main ${styles.page}`}><Link href={`/${locale}/home-care/services`} className={styles.back}><Arrow size={17} aria-hidden=""true"" />{t(""back"")}</Link><article className={styles.detail}><div classNam"	patient	app/[locale]/home-care/services/[serviceId]/page.tsx	18	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/wallet/wallet.service.ts	5	import { WalletDocument, WalletTransactionDocument } from '../../schemas/wallet.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/[locale]/home-care/services/[serviceId]/page.tsx:18` and backend anchor `src/modules/wallet/wallet.service.ts:5` are static only; no runtime proof.
patient-web	Settings/Accessibility/Location	language/RTL/accessibility → map/location/emergency → notification	app/[locale]/home-care/services/page.tsx	"const rtl = locale === ""ar"" || locale === ""ur""; const Arrow = rtl ? ArrowLeft : ArrowRight;"	patient	app/[locale]/home-care/services/page.tsx	17	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/family/family.service.ts	23	'pharmacy', 'payment', 'location', 'emergency', 'view_health', 'book_for',	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `app/[locale]/home-care/services/page.tsx:17` and backend anchor `src/modules/family/family.service.ts:23` are static only; no runtime proof.
provider	Pharmacy	cart → submit request → broadcast → offers → chosen pharmacy → cash/card or COD policy, or insurance approval/co-pay → preparation → delivery/pickup → cancel/refund/tracking	src/services/HttpClient.ts	MISSING_CAPABILITY	provider/staff	src/services/HttpClient.ts	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/pharmacy/services/smart-split.service.ts	4	* Persists full explainability snapshot on the order's split_decision field.	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/services/HttpClient.ts:` and backend anchor `src/modules/pharmacy/services/smart-split.service.ts:4` are static only; no runtime proof.
provider	Consultation	online/clinic/home → doctor → slot → cash confirmation or insurance request/decision/co-pay/payment → reschedule/cancel/no-show/video/report	src/services/HttpClient.ts	MISSING_CAPABILITY	provider/staff	src/services/HttpClient.ts	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/livekit/livekit.service.ts	7	import { APPT_STATES } from '../../schemas/appointment.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/services/HttpClient.ts:` and backend anchor `src/modules/livekit/livekit.service.ts:7` are static only; no runtime proof.
provider	Labs	home/center → lab provider → slot → cash confirmation or insurance decision/co-pay → execution → result/report/PHI	src/services/HttpClient.ts	MISSING_CAPABILITY	provider/staff	src/services/HttpClient.ts	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/labs/lab-pdf.service.ts	9	export class LabPdfService {	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/services/HttpClient.ts:` and backend anchor `src/modules/labs/lab-pdf.service.ts:9` are static only; no runtime proof.
provider	Radiology	home/center → radiology provider → slot → cash confirmation or insurance decision/co-pay → execution → report/PHI	src/services/HttpClient.ts	MISSING_CAPABILITY	provider/staff	src/services/HttpClient.ts	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/custom-services/custom-services.controller.ts	N/A	MISSING_CAPABILITY	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/services/HttpClient.ts:` and backend anchor `src/modules/custom-services/custom-services.controller.ts:` are static only; no runtime proof.
provider	Nursing/Home-care	home service → provider/visit → cash confirmation or insurance decision/co-pay → execution → report/cancel	src/services/HttpClient.ts	MISSING_CAPABILITY	provider/staff	src/services/HttpClient.ts	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/provider/simulated-features.controller.ts	11	import { HomeCareBooking, HomeCareBookingState, NursingVisitReport } from '../../schemas/home-care.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/services/HttpClient.ts:` and backend anchor `src/modules/provider/simulated-features.controller.ts:11` are static only; no runtime proof.
provider	Identity/OTP/Roles	login/register → OTP/session → ownership/role boundary → logout/revocation	src/api/client.ts	// If unauthorized (401) and not already retrying, session expired	provider/staff	src/api/client.ts	37	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/provider/services/provider-auth.service.ts	1	import { Injectable, BadRequestException, ConflictException, NotFoundException, UnauthorizedException, Logger, Inject } from '@nestjs/common';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/api/client.ts:37` and backend anchor `src/modules/provider/services/provider-auth.service.ts:1` are static only; no runtime proof.
provider	Family/Health	family/delegation/consent → health record/vitals/maternity/mental health → notification	src/services/HttpClient.ts	MISSING_CAPABILITY	provider/staff	src/services/HttpClient.ts	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/family/family.service.ts	16	"import { FamilyGroupRepository } from ""./repositories/familygroup.repository"";"	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/services/HttpClient.ts:` and backend anchor `src/modules/family/family.service.ts:16` are static only; no runtime proof.
provider	Prescription/Chat/Support	prescription/read/upload → chat/support/community → notification/result	src/services/HttpClient.ts	MISSING_CAPABILITY	provider/staff	src/services/HttpClient.ts	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/custom-services/custom-services.controller.ts	N/A	MISSING_CAPABILITY	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/services/HttpClient.ts:` and backend anchor `src/modules/custom-services/custom-services.controller.ts:` are static only; no runtime proof.
provider	Wallet/Insurance/Payment	wallet/invoice → cash/card/insurance/co-pay → refund/ledger/receipt	src/services/HttpClient.ts	MISSING_CAPABILITY	provider/staff	src/services/HttpClient.ts	N/A	MISSING_CAPABILITY	Static payload extraction required; not inferred when absent	src/modules/wallet/wallet.service.ts	5	import { WalletDocument, WalletTransactionDocument } from '../../schemas/wallet.schema';	Not proven by static keyword scan; reconcile exact guard/decorator/owner query	Must be server-authoritative; exact source not inferred unless anchored	Cash/card only after service/provider/slot or chosen pharmacy offer; insurance waits for decision/co-pay	Trace required from backend/provider/admin source	Trace required from handler/state to result/report/notification	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	Trace required	INSUFFICIENT_EVIDENCE	Frontend anchor `src/services/HttpClient.ts:` and backend anchor `src/modules/wallet/wallet.service.ts:5` are static only; no runtime proof.
