claimed_commit,narrative_files,resolution_status,resolved_commit,short_commit,observed_subject,review_boundary
55bc074,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,55bc0742e1f4cea5982685154dc0e82999ad759e,55bc074,fix(I/X12): root html lang+dir follow the active locale (was hardcoded ar/rtl),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
5ab5bee,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,5ab5beec72672834b6064e47e522e4e6a379c027,5ab5bee,fix(web-security): bookings BFF idempotency + compare route CSRF gate,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
612c84a,pasted_content_3.txt,RESOLVED,612c84a0d764c6f3636bd874cd194e509bfbea67,612c84a,fix(B): close 20 critical security holes across backend/mobile/web,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
6237429,pasted_content_3.txt,RESOLVED,623742942ed1355abc7683517bbc9827d5d704d8,6237429,"feat(F): family bookings verified, GDPR export live, data-rights buttons wired",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
6aa7f3f,pasted_content_5.txt,RESOLVED,6aa7f3f70ff03653412a0269a96728304bc89ba9,6aa7f3f,docs: provider production plan + admin enterprise plan (standalone sessions),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
7030535,pasted_content_3.txt,RESOLVED,703053558a8c9464d4c9d6ff90ce0045f498bd18,7030535,"test(enterprise): REAL integration gate 18/18 — boots AdminEnterpriseModule on in-memory Mongo, probes A1→A7 over HTTP",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
74826b3,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,74826b3ee6074ea08aa168c386f00fadea61965e,74826b3,feat(E): labs/radiology booking funnel + unified coverage mirrors (PH-SERVICE),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
7ba7501,pasted_content_4.txt;pasted_content_5.txt,RESOLVED,7ba7501657cd7a5c8a4a83fa90b9fc3e148a391e,7ba7501,"feat(P5-P7): vertical lifecycle gate 9/9 — lab sample chain→REPORTED+TAT, radiology coverage/report-phases with enum-valid mirror + secure storage, nursing geofence visit chain, ambulance dispatch→ledger; fixes radiology partial-approval mirror enum",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
8a34ad0,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,8a34ad0643eb77b8c851e4b339cfb3f6473874f4,8a34ad0,feat(F-web): drug compare + advanced search (parity #33),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
91cf09a,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,91cf09a316686988e4e4cceebcec1150263b3348,91cf09a,test(web): align suites with fail-closed CSRF and I-wave1 indexing policy,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
9502dd5,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,9502dd5ecfd65a95488e6c5fc5bfd52388815257,9502dd5,feat(H+20): REST chat fanout to WS room + monthly health report endpoint,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
9ecbe8c,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,9ecbe8c7559ff69bb8a5d5d6624cfa442b572a39,9ecbe8c,feat(H-web): web-push enable + notification deep-links (parity #14),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
9f278b1,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,9f278b167a42f4d083151eebab1cce211d0ac5bf,9f278b1,feat(E-web): nursing booking page + BFF payload fix for /home-care/bookings,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
a56321c,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,a56321cc3753e80fcc287c05a68a75ee97afde01,a56321c,docs: completion batch recorded — parity #13/#28/#20/G fully closed; remaining = owner decision + gate J,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
a57a1f0,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,a57a1f022fee63a92d1572d9cafc0711e25d2562,a57a1f0,feat(F-web): emergency SOS trigger/cancel + active check (parity #30),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
aaef7da,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,aaef7da3734e68bd8bbed9d06284feacf9090ff2,aaef7da,"feat(F-web): settings edit — profile patch, language sync, notif prefs (parity #28)",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
b0bd5ef,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,b0bd5efb7f66de099888fd13e950c067eec34481,b0bd5ef,feat(D): consultations insurance branch per PH-SERVICE governing rules,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
bcbfcbf,pasted_content_3.txt,RESOLVED,bcbfcbf8a5ec7a31a62ffab465813b760d5bbbfd,bcbfcbf,feat(A): decisions locked + shared-contracts state machines + CI skeleton,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
c0b000a,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,c0b000a432dd0d488212ad9ca7e5bd921d5afbfd,c0b000a,feat(F-web): community — post/vote/comment (parity #31),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
c0cfbcb,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,c0cfbcbd4f958220b5681b15d4b0574d58936b09,c0cfbcb,feat(F-web): returns hub — refund request + my refunds (parity #26),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
c1c14cb,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,c1c14cbd20edfd1b4aa28d590dd5ed7afa31e14e,c1c14cb,feat(G-web): server loyalty redeem-quote on pharmacy pay (G completion),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
c863f24,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,c863f244b1602de9c75feb3702813979b02318c0,c863f24,feat(F-web): wearables manual entry (parity #32),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
c92a03b,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,c92a03bbc298b5266f832b97f1a215c3bf31b877,c92a03b,"docs: admin session review verdict — approved, 4 GO-gate items remain",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
c977233,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,c977233ed9c49d20e1765f640c7b08714d0be3dc,c977233,feat(go-gate#3): wire seo_controls into robots()/sitemap() — blocked entity types vanish from sitemap and get explicit Disallow lines,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
d53092e,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,d53092e11e1c480f646201ff307ab0872773a34d,d53092e,feat(H-web): chat realtime via socket.io + attachments end-to-end (parity #13 complete),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
d537e9a,pasted_content_4.txt;pasted_content_5.txt,RESOLVED,d537e9acda9849d8be9f71a6f664c69357302486,d537e9a,feat(P2): provider contracts for 7 verticals + 9 governed endpoint DTOs + transition guard (7 unit gates green),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
db2eb00,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,db2eb00478b464fa87df6433dcf4c2bec45fe89c,db2eb00,fix(E): booking mirrors actually persist + member_id across labs/radiology/nursing,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
e492929,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,e4929291554fe8f7483a4325fc149d641543ea97,e492929,feat(I): SEO unlock wave-1 — public catalog surfaces,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
f10ea7f,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,f10ea7fe4dbe580832de7bca3f99ae22531c29f2,f10ea7f,fix(J-review): hospital-staff ownership write path (strict-mode strip re-broke access) + review verdict with 5 mandatory follow-ups,Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
f24e344,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,f24e34446e9d16f6fa5d2f2541d0b7b36468485e,f24e344,"feat(H+J): root error boundary mounted, deep-link scheme unified (nabdplus), governing-rules e2e matrix (10 probes)",Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
f785924,pasted_content_3.txt;pasted_content_5.txt,RESOLVED,f785924ec13cdd44e97f2e9345e91fc8c4fe4ce1,f785924,feat(F-web): offers index/detail + patient offers list endpoint (parity #23),Resolution proves only that a Git commit object is present; its subject and narrative claims remain subject to source and runtime review.
