commit,short_commit,subject_claim,added_lines,deleted_lines,added_file_count,modified_file_count,static_scope_observed,static_construct_evidence,changed_paths,assessment,boundary
43f13d544240ed206b3f890ad76b54ecadd7728b,43f13d5,docs: handoff progress update,5,0,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
f24e34446e9d16f6fa5d2f2541d0b7b36468485e,f24e344,"feat(H+J): root error boundary mounted, deep-link scheme unified (nabdplus), governing-rules e2e matrix (10 probes)",94,6,1,3,backend_source;mobile_ui;test_artifacts,,A	backend/e2e/governing-rules.js;M	patient-mobile/app/_layout.tsx;M	patient-mobile/src/config/deepLinks.ts;M	patient-mobile/src/theme/index.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
2791d8241e73bedd741cc7b19f7c1bf15ee77ffd,2791d82,docs: handoff H+J update,5,0,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
55659a822200b80fbe5376038db2662e8184df98,55659a8,feat(G): wallet payment for selected pharmacy offer (atomic guarded debit),43,1,0,2,backend_source,,M	backend/src/modules/pharmacy/pharmacy.controllers.ts;M	backend/src/modules/pharmacy/services/pharmacy-order.service.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
55bc0742e1f4cea5982685154dc0e82999ad759e,55bc074,fix(I/X12): root html lang+dir follow the active locale (was hardcoded ar/rtl),15,2,0,1,web_ui,,M	patient-web/app/layout.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
cd03ded083adfcccf9cbdeec7ac7c50ef0f0daa8,cd03ded,docs: handoff G+I update,4,0,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
e4929291554fe8f7483a4325fc149d641543ea97,e492929,feat(I): SEO unlock wave-1 — public catalog surfaces,19,3,0,4,web_ui,,M	patient-web/app/[locale]/medicine-catalog/page.tsx;M	patient-web/app/robots.ts;M	patient-web/app/sitemap.ts;M	patient-web/proxy.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
ade6865fafab82fb027a3397945616ea6e54b1d3,ade6865,docs: handoff I-wave1,3,0,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
c48c1bd3acb2ac32107d12eac9ee5882056dfd86,c48c1bd,docs: reconciliation-v2 (agent batch-2) + dedicated WEB PARITY track,21,0,0,2,backend_source;documentation,,M	HANDOFF.md;M	backend/src/schemas/lab.schema.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
db2eb00478b464fa87df6433dcf4c2bec45fe89c,db2eb00,fix(E): booking mirrors actually persist + member_id across labs/radiology/nursing,110,12,0,6,backend_source,,M	backend/src/modules/home-care-compat/home-care-compat.module.ts;M	backend/src/modules/insurance-engine/insurance-engine.module.ts;M	backend/src/modules/labs/labs.service.ts;M	backend/src/modules/radiology/radiology.service.ts;M	backend/src/schemas/home-care.schema.ts;M	backend/src/schemas/radiology.schema.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
4f4cbec39f9971c7f28c541309c9317a28e063be,4f4cbec,fix(E-mobile): nursing funnel follows the real PH-SERVICE paths,40,34,0,1,mobile_ui,,M	patient-mobile/app/nursing/nurse-profile.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
670c276d3eb3427a13ea438d495af6f647e0a9e5,670c276,docs(F): exhaustive web-parity backlog (33 groups) appended to handoff,137,0,2,1,web_ui;documentation,,M	HANDOFF.md;A	patient-web/app/[locale]/home-care/book/page.tsx;A	patient-web/components-next/service-booking-form.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
b64adc9b428bad13ade1b0941fb11d7db69131d6,b64adc9,docs: ZERO-MOCK enforcement rule for all remaining builds,16,56,0,3,web_bff_routes;web_ui;documentation,,M	HANDOFF.md;M	patient-web/app/[locale]/labs/book/page.tsx;M	patient-web/app/api/bookings/[kind]/route.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
9f278b167a42f4d083151eebab1cce211d0ac5bf,9f278b1,feat(E-web): nursing booking page + BFF payload fix for /home-care/bookings,9,1,0,1,web_ui,,M	patient-web/components-next/service-booking-form.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
2c6c7e9676bf3ef8810432f12bf69b9909beeaf7,2c6c7e9,"docs: handoff E-completion batch (db2eb00, 4f4cbec, 9f278b1)",6,0,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
4990f6ea7281539b2ac6c66aa0cfb6968781eda2,4990f6e,feat(D): unified consultation contract accepts payment_method=insurance,7,3,0,1,backend_source,,M	backend/src/modules/unified-bookings/unified-bookings.module.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
0535f68d575099e01b857110e951fca11de2cf2e,0535f68,feat(D-web): consultation insurance branch + copay settlement page (parity #11),336,7,4,4,web_bff_routes;web_ui;test_artifacts,,M	patient-web/app/[locale]/insurance/page.tsx;A	patient-web/app/[locale]/insurance/requests/[requestId]/page.tsx;M	patient-web/app/api/appointments/book/route.test.ts;M	patient-web/app/api/appointments/book/route.ts;A	patient-web/app/api/insurance/requests/[requestId]/pay-copay/route.ts;A	patient-web/app/api/insurance/requests/[requestId]/payment-intent/route.ts;M	patient-web/components-next/appointment-booking-form.tsx;A	patient-web/components-next/insurance-copay-actions.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
6aa7f3f70ff03653412a0269a96728304bc89ba9,6aa7f3f,docs: provider production plan + admin enterprise plan (standalone sessions),282,15,4,2,web_bff_routes;web_ui;documentation,,A	ADMIN_ENTERPRISE_PLAN.md;M	HANDOFF.md;A	PROVIDER_PRODUCTION_PLAN.md;M	patient-web/app/[locale]/pharmacy/pay/page.tsx;A	patient-web/app/api/pharmacy/orders/[orderId]/pay-wallet/route.ts;A	patient-web/app/api/pharmacy/orders/[orderId]/payment-intent/route.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
3f3c288f52639c13b36d5a00e15393f6ec700fc7,3f3c288,docs: WEB PARITY batch-1 record (parity #11 + #12) and agent-collision warning,5,0,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
97fb686b5b65dd9472480ccd5a4092dfc95f8386,97fb686,docs: ready-to-paste kickoff messages for the 3 execution sessions,207,2,4,1,web_bff_routes;web_ui;ci_or_deployment_config;documentation,,A	SESSION_KICKOFF_MESSAGES.md;A	patient-web/app/api/chat/threads/[threadId]/messages/route.ts;A	patient-web/app/api/chat/threads/[threadId]/read/route.ts;A	patient-web/components-next/chat-composer.tsx;M	patient-web/lib/api/chat.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
6036135a35390d3ca4ef9f691dfd7a2af4b941ba,6036135,feat(H-web): chat composer + read receipts + live transcript refresh (parity #13),37,3,0,2,web_ui;ci_or_deployment_config,,M	patient-web/app/[locale]/chat/[threadId]/page.tsx;M	patient-web/components-next/chat-composer.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
9ecbe8c7559ff69bb8a5d5d6624cfa442b572a39,9ecbe8c,feat(H-web): web-push enable + notification deep-links (parity #14),214,1,5,1,web_bff_routes;web_ui,,M	patient-web/app/[locale]/notifications/page.tsx;A	patient-web/app/api/push/subscribe/route.ts;A	patient-web/app/api/push/unsubscribe/route.ts;A	patient-web/app/api/push/vapid-key/route.ts;A	patient-web/components-next/push-enable.tsx;A	patient-web/public/sw.js,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
5bd4ded9868b4e962a7870158e97e649ef390582,5bd4ded,"docs: WEB PARITY batch-2 (chat #13 + web-push #14) recorded, backlog updated",13,7,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
dfa5ae54e095bcba83373c14dfaed1e0f102895b,dfa5ae5,feat(F-web): family write ops + member-scoped booking (parity #15),357,1,7,3,web_bff_routes;web_ui,,M	patient-web/app/[locale]/family/page.tsx;M	patient-web/app/api/bookings/[kind]/route.ts;A	patient-web/app/api/family/create/route.ts;A	patient-web/app/api/family/invite/route.ts;A	patient-web/app/api/family/join/route.ts;A	patient-web/app/api/family/leave/route.ts;A	patient-web/app/api/family/members/[memberId]/permissions/route.ts;A	patient-web/app/api/family/members/[memberId]/route.ts;A	patient-web/components-next/family-manage-panel.tsx;M	patient-web/components-next/service-booking-form.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
ba6b56d59536490346b197c7826731f743d8db95,ba6b56d,feat(F-web): vitals/sleep/mood logging on web (parity #16),240,3,4,3,web_bff_routes;web_ui,,M	patient-web/app/[locale]/health/sleep/page.tsx;M	patient-web/app/[locale]/health/vitals/page.tsx;M	patient-web/app/[locale]/mental-health/mood/page.tsx;A	patient-web/app/api/health/sleep/route.ts;A	patient-web/app/api/health/vitals/route.ts;A	patient-web/app/api/mental-health/mood/route.ts;A	patient-web/components-next/health-log-form.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
97dc87a2a1e0556775de78acfd42fb8a29b9351f,97dc87a,feat(F-web): maternity hub with real logging (parity #17),218,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/maternity/page.tsx;A	patient-web/app/api/maternity/profile/route.ts;A	patient-web/components-next/maternity-forms.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
ec403f70b8646383d7f70df7327748b612ef48cd,ec403f7,feat(F-web): nutrition hub — meals/water/profile targets (parity #18),140,0,2,0,web_ui,,A	patient-web/app/[locale]/nutrition/page.tsx;A	patient-web/components-next/nutrition-forms.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
4bf0786ed275eee952e810d6f48b41a7ebd89c1c,4bf0786,feat(F-web): breathing/meditation session logging (parity #19),147,2,2,2,web_bff_routes;web_ui,,M	patient-web/app/[locale]/mental-health/breathing/page.tsx;M	patient-web/app/[locale]/mental-health/meditation/page.tsx;A	patient-web/app/api/mental-health/sessions/route.ts;A	patient-web/components-next/session-log-form.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
3dde1e74aaf5f6b070e45d63aa787a6d367af998,3dde1e7,"feat(F-web): AI tools hub — triage, prescription translation, skin self-check (parity #20)",245,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/ai/page.tsx;A	patient-web/app/api/ai/route.ts;A	patient-web/components-next/ai-tools.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
17e22bc8970f86ae8f0c8f6611434c65028a78fd,17e22bc,feat(F-web): drug scanner — barcode lookup + interactions (parity #21),137,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/drug-scanner/page.tsx;A	patient-web/app/api/drug-scanner/route.ts;A	patient-web/components-next/drug-scanner-tools.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
00924580292cb99ff7ba873dca09ed828155a03a,0092458,feat(F-web): loyalty hub — rewards/challenges/leaderboard/referral (parity #22),158,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/loyalty/page.tsx;A	patient-web/app/api/loyalty/route.ts;A	patient-web/components-next/loyalty-actions.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
f785924ec13cdd44e97f2e9345e91fc8c4fe4ce1,f785924,feat(F-web): offers index/detail + patient offers list endpoint (parity #23),128,0,2,1,backend_source;web_ui,,M	backend/src/modules/compat/compat.module.ts;A	patient-web/app/[locale]/offers/[offerId]/page.tsx;A	patient-web/app/[locale]/offers/page.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
32064fcaf60a68b09cbecfb15f4d5f51729a635b,32064fc,feat(F-web): providers map list + filters (parity #24),99,0,1,0,web_ui,,A	patient-web/app/[locale]/providers-map/page.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
2c62cca6cd3c5e5e36fc16842aa993424ddb7e75,2c62cca,"feat(F-web): support tickets — create, list, thread + reply (parity #25)",216,0,4,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/support/[ticketId]/page.tsx;A	patient-web/app/[locale]/support/page.tsx;A	patient-web/app/api/support/[action]/route.ts;A	patient-web/components-next/support-forms.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
c0cfbcbd4f958220b5681b15d4b0574d58936b09,c0cfbcb,feat(F-web): returns hub — refund request + my refunds (parity #26),156,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/returns/page.tsx;A	patient-web/app/api/refunds/route.ts;A	patient-web/components-next/refund-request-form.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
da5e5f9c47e20b39a9473596dd456a5a27ab8d4b,da5e5f9,feat(F-web): post-service review form (parity #27),141,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/reviews/page.tsx;A	patient-web/app/api/ratings/route.ts;A	patient-web/components-next/review-form.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
3e9f8e9dd3dfd2973a02a4dfbca76bcb5027c355,3e9f8e9,"feat(A1): security foundation — role hierarchy (super_admin⊇admin), dynamic RBAC, real disputes engine, shared audit service, reason enforcement",1868,13,12,8,backend_source;test_artifacts,,A	backend/e2e/a1-security-pentest.js;M	backend/src/app.module.ts;M	backend/src/common/auth.guard.ts;M	backend/src/common/permissions.ts;A	backend/src/common/rbac.ts;A	backend/src/modules/admin-enterprise/admin-disputes.controller.ts;A	backend/src/modules/admin-enterprise/admin-enterprise.module.ts;A	backend/src/modules/admin-enterprise/admin-finance.controller.ts;A	backend/src/modules/admin-enterprise/admin-orders.controller.ts;A	backend/src/modules/admin-enterprise/admin-security.controller.ts;A	backend/src/modules/admin-enterprise/audit.service.ts;A	backend/src/modules/admin-enterprise/finance-suite.service.ts;A	backend/src/modules/admin-enterprise/orders-console.service.ts;M	backend/src/modules/insurance-engine/tests/insurance-flow.spec.ts;M	backend/src/modules/payments/payments.module.ts;M	backend/src/modules/pharmacy/pharmacy.controllers.ts;M	backend/src/modules/radiology/radiology.service.report-storage.spec.ts;M	backend/src/schemas/appointment.schema.ts;A	backend/test/a1-security.spec.ts;A	backend/test/a2-finance.spec.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
aaef7da3734e68bd8bbed9d06284feacf9090ff2,aaef7da,"feat(F-web): settings edit — profile patch, language sync, notif prefs (parity #28)",216,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/settings/edit/page.tsx;A	patient-web/app/api/settings/route.ts;A	patient-web/components-next/settings-forms.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
1d802f4f64a7274698a82c043890ec9b15eb6b23,1d802f4,feat(F-web): treatment programs — enroll + complete session (parity #29),154,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/programs/page.tsx;A	patient-web/app/api/programs/route.ts;A	patient-web/components-next/program-actions.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
a57a1f022fee63a92d1572d9cafc0711e25d2562,a57a1f0,feat(F-web): emergency SOS trigger/cancel + active check (parity #30),195,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/emergency/page.tsx;A	patient-web/app/api/emergency/[action]/route.ts;A	patient-web/components-next/sos-controls.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
c0b000a432dd0d488212ad9ca7e5bd921d5afbfd,c0b000a,feat(F-web): community — post/vote/comment (parity #31),248,0,3,0,web_bff_routes;web_ui;ci_or_deployment_config,,A	patient-web/app/[locale]/community/page.tsx;A	patient-web/app/api/community/[action]/route.ts;A	patient-web/components-next/community-composer.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
c863f244b1602de9c75feb3702813979b02318c0,c863f24,feat(F-web): wearables manual entry (parity #32),147,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/wearables/page.tsx;A	patient-web/app/api/wearables/route.ts;A	patient-web/components-next/wearable-manual-form.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
8a34ad0643eb77b8c851e4b339cfb3f6473874f4,8a34ad0,feat(F-web): drug compare + advanced search (parity #33),204,0,3,0,web_bff_routes;web_ui,,A	patient-web/app/[locale]/drug-search/page.tsx;A	patient-web/app/api/medicines/compare/route.ts;A	patient-web/components-next/drug-compare.tsx,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
106ca955515838c635534742ee5e229bc131f0e7,106ca95,"docs: WEB PARITY batch-3 — backlog 15-33 complete, table + explicit remainders",43,19,0,1,documentation,,M	HANDOFF.md,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
3f319d06d04b672b9d863cf736d09266933a204c,3f319d0,fix(P1): server-side temp credentials + ownership field fix in hospital-staff (parent_account_id read bug),34,10,0,1,backend_source,,M	backend/src/modules/hospital-staff/hospital-staff.module.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
20c6f2bc2334b4cc5bac655cfdecdbb87777d237,20c6f2b,"feat(A7): command center v2 SSE controller + scheduled reports runner (cron, real aggregation compute, CSV attachment email via Resend/SES, run history)",2009,11,12,3,backend_source;shared_contracts;test_artifacts,,A	backend/src/modules/admin-enterprise/admin-analytics.controller.ts;A	backend/src/modules/admin-enterprise/admin-cms.controller.ts;A	backend/src/modules/admin-enterprise/admin-coupons.controller.ts;A	backend/src/modules/admin-enterprise/admin-crm.controller.ts;M	backend/src/modules/admin-enterprise/admin-enterprise.module.ts;A	backend/src/modules/admin-enterprise/admin-ops.controller.ts;A	backend/src/modules/admin-enterprise/analytics-suite.service.ts;A	backend/src/modules/admin-enterprise/command-center-v2.controller.ts;A	backend/src/modules/admin-enterprise/scheduled-reports.runner.ts;M	backend/src/modules/mail/mail.module.ts;A	backend/test/a3-analytics.spec.ts;A	backend/test/a5-coupons.spec.ts;M	packages/shared-contracts/src/index.ts;A	packages/shared-contracts/src/provider-contracts.ts;A	provider,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
d537e9acda9849d8be9f71a6f664c69357302486,d537e9a,feat(P2): provider contracts for 7 verticals + 9 governed endpoint DTOs + transition guard (7 unit gates green),94,4,1,1,shared_contracts;test_artifacts,,A	packages/shared-contracts/src/__tests__/provider-contracts.spec.ts;M	packages/shared-contracts/src/provider-contracts.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
4278728f3ebf9923de2286266740859bb87e5467,4278728,fix(audit round): 5 real defects found on self-review,86,11,1,4,backend_source,,M	backend/src/modules/admin-enterprise/admin-enterprise.module.ts;M	backend/src/modules/admin-enterprise/admin-security.controller.ts;M	backend/src/modules/admin-enterprise/orders-console.service.ts;A	backend/src/modules/admin-enterprise/patient-gdpr.controller.ts;M	backend/src/modules/admin/admin.controller.ts,SOURCE_CHANGE_OBSERVED_ONLY,"Diff evidence does not prove the described feature works, is authorized, has correct contracts, or is deployable."
