requirement_id,route_or_surface,declared_plan_status,token_evidence_files,static_assessment,assessment_reason,plan_boundary,completion_definition
PM-020,ai-assistant,BUILD,patient-mobile/app/_layout.tsx;patient-mobile/app/(tabs)/consultations/index.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No corresponding localized Web discovery/payment/support surface or CTA found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/GENERAL_DISCOVERY_PAYMENT_SUPPORT_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-029,articles/bookmarks,COMPLETE_OR_REPLACE,patient-web/lib/api/articles-server.ts;patient-web/lib/api/patient-allowlist.ts;patient-mobile/app/articles/index.tsx;patient-mobile/app/articles/[slug].tsx;patient-mobile/app/articles/bookmarks.tsx;backend/src/modules/articles/articles.module.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Protected bookmark list/detail handoff exists but no bookmark mutation/note/share CTA. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/FINAL_ONBOARDING_DIAGNOSTICS_HEALTH_ROOT_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-030,articles/index,COMPLETE_OR_REPLACE,patient-mobile/app/articles/index.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Public article search/category/detail handoff exists; content completeness and clinical governance are unproven. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/PHI_CONTENT_NOTIFICATIONS_CHAT_MENTAL_HEALTH_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-031,community/hub,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/services/index.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No corresponding localized Web discovery/payment/support surface or CTA found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/GENERAL_DISCOVERY_PAYMENT_SUPPORT_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-032,community/post-detail,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/search/index.tsx;patient-mobile/app/community/hub.tsx;backend/src/modules/notifications/notifications.service.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No corresponding localized Web discovery/payment/support surface or CTA found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/GENERAL_DISCOVERY_PAYMENT_SUPPORT_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-033,consultations/appointment-detail,COMPLETE_OR_REPLACE,patient-mobile/app/rn_screens.json;patient-mobile/app/(tabs)/index.tsx;patient-mobile/app/consultations/appointments.tsx;patient-mobile/app/orders/index.tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/components/NotificationHandler.tsx;patient-mobile/src/hooks/usePushNotifications.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Protected appointment detail supports limited consultation actions; payment/insurance/provider ownership and lifecycle remain unresolved. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_BOOKING_DIAGNOSTICS_HOME_CARE_MANUAL_,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-034,consultations/appointments,COMPLETE_OR_REPLACE,patient-mobile/app/rn_screens.json;patient-mobile/app/(tabs)/index.tsx;patient-mobile/app/(tabs)/health.tsx;patient-mobile/app/profile/index.tsx;patient-mobile/app/voice/index.tsx;patient-mobile/app/consultations/cancel-reschedule.tsx;patient-mobile/app/consultations/booking-success.tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/components/NotificationHandler.tsx;patient-mobile/src/hooks/usePushNotifications.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Appointment list is post-booking read surface with client status buckets; it is not consultation discovery or lifecycle authority. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_BOOKING_DIAGNOSTICS_HOME_CARE_MANUAL_REVIEW_,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-035,consultations/book/[id],COMPLETE_OR_REPLACE,patient-mobile/app/offers/[id].tsx;patient-mobile/app/consultations/doctor-search.tsx;patient-mobile/app/consultations/follow-up.tsx;patient-mobile/app/consultations/appointments.tsx;patient-mobile/app/consultations/doctor/[id].tsx;patient-mobile/app/consultations/book/[id].tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Booking request carries doctor/type/slot and idempotency only; cash/card-before-confirmation and insurance flow are not evidenced. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_BOOKING_DIAGNOSTICS_HOME_CARE_MANUAL_REVIEW_,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-036,consultations/booking-confirm,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/consultations/summary.tsx;patient-mobile/app/consultations/doctor/[id].tsx;patient-mobile/app/consultations/book/[id].tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/utils/insurance-catalog-contract.test.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No dedicated Web consultation confirmation surface or receipt/payment completion state was located; booking redirects to generic appointment detail. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_BOOKING_DIAGNOSTICS_HOME_C,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-037,consultations/booking-pending,BUILD,patient-mobile/app/payments/success.tsx;patient-mobile/app/consultations/booking-success.tsx;patient-mobile/src/components/NotificationHandler.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No dedicated Web consultation pending/insurance/payment state surface was located; generic appointment detail does not provide required decision/payment transitions. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_BOOKING_D,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-038,consultations/booking-success,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/payments/success.tsx;patient-mobile/app/consultations/booking-confirm.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No dedicated Web consultation success/receipt surface or verified payment-confirmation state was located. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_BOOKING_DIAGNOSTICS_HOME_CARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-039,consultations/call-history,BUILD,patient-mobile/app/rn_screens.json,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No call-history Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-040,consultations/cancel-reschedule,COMPLETE_OR_REPLACE,patient-mobile/app/rn_screens.json;patient-mobile/app/consultations/clinic-confirm.tsx;patient-mobile/app/consultations/appointment-detail.tsx;patient-mobile/app/consultations/appointments.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,"Consultation-only cancel/reschedule uses local datetime input and idempotency; no authoritative slot picker, financial or payer lifecycle is evidenced. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_BOOKING_DIAGNOSTICS_HOM",CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-041,consultations/chat-with-doctor,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/consultations/home-visit-tracking.tsx;patient-mobile/app/consultations/follow-up.tsx;patient-mobile/app/consultations/clinic-confirm.tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/components/NotificationHandler.tsx;patient-mobile/src/hooks/usePushNotifications.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Thread surface renders summary metadata and hides body; no compose/reply/upload/escalation CTA is evidenced. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/PHI_CONTENT_NOTIFICATIONS_CHAT_MENTAL_HEALTH_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-042,consultations/clinic-confirm,BUILD,patient-mobile/app/consultations/booking-pending.tsx;patient-mobile/src/components/NotificationHandler.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No clinic-confirmation Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-043,consultations/clinic-location,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/payments/success.tsx;patient-mobile/app/consultations/clinic-confirm.tsx;patient-mobile/app/consultations/appointment-detail.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No clinic-location Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-044,consultations/clinic/[id],BUILD,patient-mobile/app/s/[type]/[slug].tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No clinic-detail Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-045,consultations/doctor-profile,COMPLETE_OR_REPLACE,patient-mobile/app/rn_screens.json;patient-mobile/app/map/index.tsx;patient-mobile/app/s/[type]/[slug].tsx;patient-mobile/app/consultations/clinic/[id].tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Public doctor detail and slots exist; pricing/coverage/provider availability authority remains unproven. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_BOOKING_DIAGNOSTICS_HOME_CARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-046,consultations/doctor-search,COMPLETE_OR_REPLACE,patient-mobile/app/rn_screens.json;patient-mobile/app/voice/index.tsx;patient-mobile/app/consultations/booking-pending.tsx;patient-mobile/app/consultations/doctor-profile.tsx;patient-mobile/app/consultations/specialty-select.tsx;patient-mobile/app/(tabs)/consultations/index.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Public doctor search/sort/detail handoff exists; price/availability/insurance authority and full booking lifecycle remain unproven. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-0,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-047,consultations/doctor/[id],COMPLETE_OR_REPLACE,patient-mobile/app/consultations/doctor-search.tsx;patient-mobile/app/consultations/doctor-profile.tsx;patient-mobile/app/consultations/appointment-detail.tsx;patient-mobile/src/navigation/DeepLinking.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Public doctor detail and slots exist; pricing/coverage/provider availability authority remains unproven. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_BOOKING_DIAGNOSTICS_HOME_CARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-048,consultations/follow-up,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/consultations/follow-up.tsx;patient-mobile/app/consultations/prescription-from-doctor.tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/components/NotificationHandler.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No consultation follow-up Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-049,consultations/home-visit-tracking,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/payments/success.tsx;patient-mobile/app/consultations/booking-pending.tsx;patient-mobile/app/consultations/appointment-detail.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No home-visit tracking Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-050,consultations/incoming-call,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/src/utils/callkeep.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No incoming-call Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-051,consultations/offer/[id],BUILD,patient-mobile/app/consultations/offer/[id].tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No consultation-offer Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-052,consultations/post-call-rating,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/consultations/video-call.tsx;patient-mobile/app/consultations/summary.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No post-call rating Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-053,consultations/prescription-from-doctor,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/consultations/summary.tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/components/NotificationHandler.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No consultation prescription Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-054,consultations/share-report,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/ai/prescription-translator.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No consultation report-share Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-056,consultations/summary,BUILD,patient-mobile/app/consultations/appointment-detail.tsx;patient-mobile/src/components/NotificationHandler.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No consultation summary Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-057,consultations/video-call,COMPLETE_OR_REPLACE,patient-mobile/app/rn_screens.json;patient-mobile/app/consultations/call-history.tsx;patient-mobile/app/consultations/incoming-call.tsx;patient-mobile/app/consultations/virtual-waiting-room.tsx;patient-mobile/app/consultations/video/[id].tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/utils/callkeep.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,Video path requests a call token and shows local ready/error only; it does not join or manage a call lifecycle. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_BOOKING_DIAGNOSTICS_HOME_CARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-058,consultations/video/[id],BUILD,,NOT_VERIFIABLE_STATIC,No exact route token found in available static source; absence is not proof of missing implementation.,No video-room Web surface found; token readiness alone is not room join. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-059,consultations/virtual-waiting-room,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/consultations/booking-pending.tsx;patient-mobile/app/consultations/appointment-detail.tsx;patient-mobile/src/config/deepLinks.ts;patient-mobile/src/components/NotificationHandler.tsx,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No virtual-waiting-room Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
PM-060,consultations/waiting-room,BUILD,patient-mobile/app/rn_screens.json;patient-mobile/app/(tabs)/health.tsx;patient-mobile/app/consultations/appointments.tsx;patient-mobile/src/config/deepLinks.ts,NOT_VERIFIABLE_STATIC,Exact route token found in source; this is not evidence of a complete journey.,No waiting-room Web surface found. Evidence: audit-artifacts/gap-closure-audit/patient-web-manual-evidence/CONSULTATION_FOLLOWUP_CALL_POSTCARE_MANUAL_REVIEW_2026-08-26.md,CTA→contract→authz→authoritative data→all state branches→tests/runtime/ops evidence.
