planning_id	evidence_class	allowed_for_build	workstream	severity	owner	status	source	summary	required_gate
RD-0011	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	consultation	P1	Backend	BLOCKED_BY_DECISION	infra/livekit.yaml:1–32;src/modules/care/repositories/appointment.repository.ts:8–13;src/modules/family/repositories/sharedcalendarevent.repository.ts:8–13;src/schemas/extra.schemas.ts:1–93;src/schemas/radiology.schema.ts:111–207	Cross-cutting clinical/safety validation control is inconsistent or not evidenced across the consultation surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0012	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	consultation	P0	Backend	BLOCKED_BY_DECISION	e2e/matrix2.js:231–510;src/modules/booking-flow/booking-flow.module.ts:183–200,232–240;src/modules/booking-flow/booking-flow.module.ts:209–228;src/modules/booking-ops/booking-ops.module.ts:123–160,180–189;src/modules/booking-ops/booking-ops.module.ts:2–24,83–150,191–204;src/modules/booking-ops/booking-ops.module.ts:94–103;src/modules/care/repositories/appointment.repository.ts:8–13;src/modules/home-care/repositories/homecarebooking.repository.ts:8–13;src/modules/home-care/schemas/home-care-booking.schema.ts:14–35;src/modules/home-care/schemas/home-care-booking.schema.ts:4–12,29–31;src/modules/hospital/schemas/hospital-department.schema.ts:23–24;src/modules/ops/metrics.interceptor.ts:38–44;src/modules/provider-ops/provider-ops.module.ts:198–224;src/modules/slot-locks/slot-locks.module.ts:20–31;src/modules/unified-bookings/unified-bookings.contract.spec.ts:53–62;src/modules/unified-bookings/unified-bookings.contract.spec.ts:53–82;src/schemas/appointment.schema.ts:1–138;src/schemas/appointment.schema.ts:52–137;src/schemas/appointment.schema.ts:81–82;src/schemas/lab.schema.ts:85–136	Cross-cutting financial truth/settlement control is inconsistent or not evidenced across the consultation surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0013	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	consultation	P0	Provider	BLOCKED_BY_DECISION	infra/livekit.yaml:1–32;src/modules/compat/compat.module.ts:564–647;src/modules/family/repositories/sharedcalendarevent.repository.ts:8–11;src/modules/family/repositories/sharedcalendarevent.repository.ts:8–13;src/modules/home-care/controllers/home-care-tracking.controller.spec.ts:9–42;src/modules/home-care/home-care.contract.spec.ts:17–43;src/modules/home-care/home-care.controller.spec.ts:20–74;src/modules/livekit/livekit.followup.spec.ts:4–8,19–33;src/modules/livekit/repositories/callmetric.repository.ts:8–13;src/modules/provider-jobs/provider-jobs.module.ts:121–140,216–220,228–250;src/modules/slot-locks/slot-locks.module.ts:14–18;src/modules/unified-bookings/unified-bookings.contract.spec.ts:31–98;src/modules/unified-bookings/unified-bookings.contract.spec.ts:32–82;src/modules/unified-bookings/unified-bookings.contract.spec.ts:35–50,77–92;src/schemas/hospital-operations.schema.ts:76–89;src/schemas/slot-lock.schema.ts:12;src/schemas/slot-lock.schema.ts:13–14;src/schemas/slot-lock.schema.ts:16	Cross-cutting input/schema validation control is inconsistent or not evidenced across the consultation surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0014	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	consultation	P2	Backend	BLOCKED_BY_DECISION	src/modules/family/repositories/sharedcalendarevent.repository.ts:8–13;src/modules/home-care/schemas/home-care-booking.schema.ts:14–35;src/schemas/outbound-referral.schema.ts:19–29	Cross-cutting observability/lifecycle control is inconsistent or not evidenced across the consultation surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0015	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	consultation	P1	Backend	BLOCKED_BY_DECISION	:732–734;NabdProvider-provider/src/screens/nursing/NursingDashboard.tsx:80–103,128–164,226–232,266–286,293–318;e2e/matrix.js:400–417;nabd_plus_patient_app/app/(tabs)/health.tsx:99–127,206–250,338–373;nabd_plus_patient_app/app/nursing/live-tracking.tsx:75–95,99–137,143–173,204–273;nabd_plus_patient_app/app/orders/index.tsx:17–32,74–180,221–257;nabdah-backend/src/modules/home-care-compat/home-care-compat.module.ts:98–113,141–149,209–212;semantic-evidence-mobile-health-home.md;semantic-evidence-mobile-nursing-live-tracking.md;semantic-evidence-mobile-orders-center.md;src/modules/admin-notification-center/admin-notification-center.module.ts:246–278;src/modules/booking-ops/booking-ops.module.ts:152–177;src/modules/compat/compat.module.ts:32–38,482–487;src/modules/provider-ops/provider-ops.module.ts:201–235;src/modules/provider-ops/provider-ops.module.ts:521–632;src/modules/push/push.module.ts:302–312,619–687;src/modules/slot-locks/slot-locks.module.ts:34–42;src/modules/unified-bookings/unified-bookings.module.ts:103–125,416–426;src/schemas/appointment.schema.ts:92–96;src/schemas/review.schema.ts:7–11	Cross-cutting privacy/authorization control is inconsistent or not evidenced across the consultation surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0016	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	consultation	P1	Backend	BLOCKED_BY_DECISION	infra/docker-compose.infra.yml:23–38;infra/livekit.yaml:10–19;infra/livekit.yaml:27–31;infra/livekit.yaml:2–4;src/modules/home-care/schemas/home-care-booking.schema.ts:21–34;src/modules/livekit/livekit.followup.spec.ts:52–122;src/modules/livekit/repositories/callmetric.repository.ts:8–13;src/modules/unified-bookings/unified-bookings.contract.spec.ts:8–29;src/schemas/slot-lock.schema.ts:15	Cross-cutting runtime/deployment evidence control is inconsistent or not evidenced across the consultation surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0017	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	consultation	P1	Patient Mobile	BLOCKED_BY_DECISION	infra/fastapi/tests/test_nabd_backend.py:28–327,377–415;nabd_plus_patient_app/app/insurance/network-providers.tsx:21–37,49–77,160–179,183–272;semantic-evidence-mobile-insurance-network-providers.md;src/common/tracking.ts:8–15;src/contracts/mongoose-indexes.contract.spec.ts:9–20;src/modules/admin-notification-center/admin-notification-center.module.ts:244–280;src/modules/booking-flow/booking-flow.module.ts:103–169;src/modules/booking-flow/booking-flow.module.ts:172–180;src/modules/booking-flow/booking-flow.module.ts:183–200;src/modules/booking-flow/booking-flow.module.ts:242–259;src/modules/booking-ops/booking-ops.module.ts:180–189;src/modules/care/tests/appointments-states.spec.ts:149–199;src/modules/care/tests/appointments-states.spec.ts:156–178;src/modules/care/tests/appointments-states.spec.ts:156–190;src/modules/care/tests/appointments-states.spec.ts:46–64,88–98;src/modules/consistency/consistency.module.ts:34–59;src/modules/home-care-compat/home-care-compat.controller.spec.ts:26–33;src/modules/home-care-compat/home-care-compat.module.ts:74–95;src/modules/home-care/controllers/home-care-tracking.controller.spec.ts:9–32;src/modules/home-care/repositories/homecarebooking.repository.ts:8–13	Cross-cutting state/concurrency/idempotency control is inconsistent or not evidenced across the consultation surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0018	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	consultation	P2	Patient Mobile	BLOCKED_BY_DECISION	nabd_plus_patient_app/app/settings/language.tsx:11–47;semantic-evidence-mobile-language-settings.md	Cross-cutting ux/parity/completeness control is inconsistent or not evidenced across the consultation surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0019	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	diagnostics/homecare	P1	Backend	BLOCKED_BY_EVIDENCE	src/contracts/mongoose-indexes.contract.spec.ts:10–13;src/modules/admin-web-core/controllers/analytics.controller.ts:40–59;src/modules/compat/admin-nursing-containment.spec.ts:4–10;src/modules/home-care/controllers/home-care-tracking.controller.spec.ts:21–42;src/modules/home-care/home-care.contract.spec.ts:37–43;src/modules/home-care/repositories/careplan.repository.ts:8–13;src/modules/home-care/schemas/home-care-nurse.schema.ts:11–12;src/modules/provider-ops/provider-ops.module.ts:292–305,554–555;src/schemas/ambulance-vehicle.schema.ts:1–38;src/schemas/ambulance-vehicle.schema.ts:23–25;src/schemas/b2b-request.schema.ts:10,12–14;src/schemas/lab-result.schema.ts:23–25,33–36	Cross-cutting catalog/provenance/publication control is inconsistent or not evidenced across the diagnostics/homecare surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0020	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	diagnostics/homecare	P2	Patient Mobile	BLOCKED_BY_DECISION	scripts/test-extensions.ts:269–296;src/modules/home-care-compat/home-care-compat.module.ts:228–272;src/modules/home-care/home-care.contract.spec.ts:17–35;src/modules/home-care/home-care.seed.ts:5–6,27–28,51–52,73–74,84–85,97–98,119–120,130–131;src/modules/home-care/repositories/careplan.repository.ts:8–13;src/modules/home-care/repositories/medicalsupplyrequest.repository.ts:8–13;src/modules/home-care/repositories/nursingvisitreport.repository.ts:8–13;src/modules/home-care/schemas/medical-supply-request.schema.ts:6–27;src/schemas/ambulance-vehicle.schema.ts:18–22;src/schemas/ambulance-vehicle.schema.ts:29–34;src/schemas/lab-result.schema.ts:27–28;src/schemas/lab-result.schema.ts:27–44;src/schemas/lab-result.schema.ts:38–44;src/schemas/radiology.schema.ts:131–142,172–189;src/schemas/radiology.schema.ts:181–189;src/schemas/radiology.schema.ts:23–32,48–60	Cross-cutting clinical/safety validation control is inconsistent or not evidenced across the diagnostics/homecare surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0021	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	diagnostics/homecare	P2	Provider	BLOCKED_BY_DECISION	src/modules/home-care-compat/home-care-compat.module.ts:103–113,116–156;src/modules/home-care/schemas/medical-supply-request.schema.ts:14–27;src/schemas/callmetric.schema.ts:7–15;src/schemas/radiology.schema.ts:119–141;src/scripts/verify-production.ts:46–49	Cross-cutting financial truth/settlement control is inconsistent or not evidenced across the diagnostics/homecare surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0022	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	diagnostics/homecare	P1	Backend	BLOCKED_BY_DECISION	e2e/README.md:22–46;e2e/boot.js:37–52;jest.boot.config.js:5–6;scripts/seed-insurance-companies.ts:12–14;src/modules/business-rules/business-rules.module.ts:29–39,142–163;src/modules/care/schemas/encounter-referrals.schema.ts:15–31;src/modules/events/events.controllers.ts:12–24;src/modules/home-care-compat/home-care-compat.module.ts:162–167;src/modules/home-care/controllers/home-care-tracking.controller.spec.ts:9–42;src/modules/home-care/home-care.contract.spec.ts:17–43;src/modules/home-care/home-care.controller.spec.ts:14–17,34–74;src/modules/home-care/home-care.seed.ts:4,11,15,22,26,33,37,44,50,57,61,68,72,79,83,90,96,103,107,114,118,125,129,136;src/modules/home-care/repositories/careplan.repository.ts:8–13;src/modules/home-care/schemas/medical-supply-request.schema.ts:15–20;src/modules/workflow-engine/workflow-engine.module.ts:449–458;src/schemas/ambulance-vehicle.schema.ts:14–20,26;src/schemas/approval-request.schema.ts:16;src/schemas/emergency.schema.ts:22–26;src/schemas/feature-flag.schema.ts:12–16;src/schemas/lab-result.schema.ts:30–31	Cross-cutting input/schema validation control is inconsistent or not evidenced across the diagnostics/homecare surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0023	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	diagnostics/homecare	P0	Backend	BLOCKED_BY_DECISION	scripts/seed-articles.ts:47–61;scripts/seed-loyalty.ts:113–138;src/health.controller.ts:37–44;src/modules/home-care/repositories/medicalsupplyrequest.repository.ts:8–13;src/modules/home-care/schemas/home-care-nurse.schema.ts:4–17;src/schemas/ambulance-vehicle.schema.ts:23–28;src/schemas/patient-crm-tag.schema.ts:16–32	Cross-cutting observability/lifecycle control is inconsistent or not evidenced across the diagnostics/homecare surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0024	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	diagnostics/homecare	P0	Provider	BLOCKED_BY_DECISION	src/modules/compat/admin-nursing-containment.spec.ts:7–10;src/modules/compat/admin-spa.module.ts:1301–1315;src/modules/home-care/repositories/careplan.repository.ts:8–13;src/modules/home-care/repositories/nursingvisitreport.repository.ts:8–13;src/modules/seed/seed.data.ts:1–3,10–40,74–279;src/schemas/ad-placement.schema.ts:12–25;src/schemas/family.schemas.ts:36–50;src/schemas/lab-result.schema.ts:33–44;src/schemas/patient-crm-tag.schema.ts:28–29	Cross-cutting privacy/authorization control is inconsistent or not evidenced across the diagnostics/homecare surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
RD-0025	NORMALIZED_CONFIRMED_ROOT_CONTROL	NO_UNTIL_DECISION_AND_CONTRACT	diagnostics/homecare	P2	Backend	BLOCKED_BY_EVIDENCE	NABDAH_PROJECT_REFERENCE.md:184–200;src/config/openapi.config.ts:36–44;src/modules/compat/admin-nursing-containment.spec.ts:1–11;src/modules/compat/admin-nursing-containment.spec.ts:4–10;src/modules/compat/admin-nursing-containment.spec.ts:7–10;src/modules/home-care/home-care.controller.spec.ts:5–18,20–74	Cross-cutting runtime/deployment evidence control is inconsistent or not evidenced across the diagnostics/homecare surface.	Server-governed behavior, fail-closed authorization/validation, truthful state and redacted evidence; no mocks. Owner/stranger/unauth where applicable; replay/concurrency for mutations; negative/error/cleanup; contract and runtime evidence as applicable.
