surface	source_path	line	signal	snippet	classification	required_disposition
patient-mobile	app/ai/monthly-report.tsx	3	fake	"// E2: was 100% fabricated — fake health scores (78/100), fake BP trends (""تحسّن""),"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/ai/monthly-report.tsx	4	fake	// fake appointments and fake AI recommendations. In a medical app that is a safety	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/ai/skin-analysis.tsx	48	placeholder	"return <View style={[styles.container, { backgroundColor: colors.background }]}><View style={[styles.header, { backgroundColor: '#0F766E', paddingTop: insets.top + 12 }]}><TouchableOpacity onPress={() => router.back()} style={styles.backButton}><Icon name=""back"" size={21} color=""#FFFFFF"" /></TouchableOpacity><AppText variant=""h4"" color=""#FFFFFF"">{t('skinTitle')}</AppText><AppText variant=""caption"" color=""rgba(255,255,255,0.82)"">{t('skinSubtitle')}</AppText></View><ScrollView contentContainerStyl"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/ai/triage.tsx	70	placeholder	"<View style={[styles.card, { backgroundColor: colors.surface }]}><AppText variant=""h6"" color={colors.textPrimary}>{t('symptoms')}</AppText><TextInput value={symptoms} onChangeText={setSymptoms} maxLength={1000} multiline textAlignVertical=""top"" placeholder={t('symptomsPlaceholder')} placeholderTextColor={colors.textTertiary} style={[styles.input, { color: colors.textPrimary, borderColor: colors.border, backgroundColor: colors.backgroundSecondary }]} /></View>"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/search/index.tsx	112	placeholder	style={{ flex: 1, fontSize: 13, color: colors.n, textAlign: isRTL ? 'right' : 'left' }} placeholder={lang === 'ar' ? 'ابحث عن طبيب، دواء، تحليل، مقال، تأمين...' : 'Search doctor, medicine, lab, article, insurance...'}	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/wearables/hub.tsx	202	placeholder	placeholder={f.hint}	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/diagnostics/search.tsx	67	placeholder	"placeholder=""ابحث عن تحليل..."""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/diagnostics/orders.tsx	213	sample	(router.push as any)(`/diagnostics/sample-tracking?bookingId=${order.id}`)	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/diagnostics/upload-rx.tsx	3	placeholder	"// This file previously rendered a bare ""Upload"" placeholder stub."	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/diagnostics/packages.tsx	66	placeholder	"placeholder=""ابحث عن باقة..."""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/diagnostics/book-sample.tsx	1	sample	// app/diagnostics/book-sample.tsx — routes the legacy entrypoint into the live provider-selection flow.	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/edit-profile.tsx	72	placeholder	"<Card style={styles.section}><AppText variant=""h6"" align=""right"">المعلومات الصحية الأساسية</AppText><AppText variant=""caption"" color={colors.textTertiary} align=""right"">فصيلة الدم</AppText><SegmentedControl value={draft.blood_type} onChange={(blood_type) => setDraft((state) => ({ ...state, blood_type }))} options={['unknown', 'A+', 'A-', 'B+', 'B-', 'AB+', 'AB-', 'O+', 'O-'].map((key) => ({ key, label: key === 'unknown' ? 'غير معروف' : key }))} /><Input value={draft.height_cm} onChangeText={(hei"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/medication-reminder-add.tsx	69	placeholder	"<Animated.View entering={FadeInDown.duration(300)}><Card style={styles.section}><SectionTitle index=""1"" title={t('medicationAndDose')} colors={colors} /><Input value={name} onChangeText={setName} placeholder={t('medicationName')} /><Input value={dose} onChangeText={setDose} placeholder={t('dosePlaceholder')} /><Input value={count} onChangeText={setCount} placeholder={t('unitsPerDose')} keyboardType=""numeric"" /><AppText variant=""caption"" color={colors.textTertiary} align=""right"">{t('doseSafety')}"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/medication-reminder-add.tsx	70	placeholder	"<Animated.View entering={FadeInDown.delay(70).duration(300)}><Card style={styles.section}><SectionTitle index=""2"" title={t('schedule')} colors={colors} /><View style={styles.times}>{TIME_OPTIONS.map((time) => { const selected = times.includes(time); return <TouchableOpacity key={time} accessibilityRole=""checkbox"" accessibilityState={{ checked: selected }} onPress={() => toggleTime(time)} style={[styles.time, { backgroundColor: selected ? colors.primary : colors.surfaceSecondary, borderColor: sel"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/medication-reminder-add.tsx	71	placeholder	"<Animated.View entering={FadeInDown.delay(140).duration(300)}><Card style={styles.section}><SectionTitle index=""3"" title={t('frequencyAndDuration')} colors={colors} /><SegmentedControl value={frequency} onChange={setFrequency} options={[{ key: 'daily', label: t('daily') }, { key: 'weekly', label: t('weekly') }, { key: 'as_needed', label: t('asNeeded') }]} /><SegmentedControl value={chronic ? 'chronic' : 'limited'} onChange={(value) => setChronic(value === 'chronic')} options={[{ key: 'limited', "	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/medication-reminder-add.tsx	73	placeholder	"{chronic && <Animated.View entering={FadeInDown.duration(260)}><Card style={[styles.section, { borderColor: colors.warning + '55' }]}><SectionTitle index=""5"" title={t('refillTracking')} colors={colors} /><Input value={pillsRemaining} onChangeText={setPillsRemaining} placeholder={t('remainingUnits')} keyboardType=""numeric"" /><Input value={refillDate} onChangeText={setRefillDate} placeholder={t('refillDate')} /><SegmentedControl value={String(refillLeadDays)} onChange={(value) => setRefillLeadDays"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/medication-reminder-add.tsx	74	placeholder	"<Animated.View entering={FadeInDown.delay(230).duration(300)}><Card style={styles.section}><AppText variant=""h6"" align=""right"">{t('instructions')}</AppText><Input value={instructions} onChangeText={setInstructions} placeholder={t('instructionsHint')} multiline /></Card></Animated.View>"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/conditions-allergies.tsx	51	placeholder	"<ItemSection title=""الأمراض المزمنة"" value={condition} onChange={setCondition} placeholder=""أدخل اسماً كما ورد في سجلك"" items={profile.chronic_diseases || []} addLabel=""إضافة مرض"" adding={action === 'add-chronic-diseases'} onAdd={() => add('chronic-diseases', condition)} onRemove={(id) => remove('chronic-diseases', id)} action={action} colors={colors} />"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/conditions-allergies.tsx	52	placeholder	"<ItemSection title=""الحساسية"" value={allergy} onChange={setAllergy} placeholder=""أدخل الحساسية المعروفة"" items={profile.allergies || []} addLabel=""إضافة حساسية"" adding={action === 'add-allergies'} onAdd={() => add('allergies', allergy)} onRemove={(id) => remove('allergies', id)} action={action} colors={colors} />"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/conditions-allergies.tsx	57	placeholder	function ItemSection({ title, value, onChange, placeholder, items, addLabel, adding, onAdd, onRemove, action, colors }: { title: string; value: string; onChange: (value: string) => void; placeholder: string; items: ProfileItem[]; addLabel: string; adding: boolean; onAdd: () => void; onRemove: (id: string) => void; action: string | null; colors: any }) {	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/conditions-allergies.tsx	58	placeholder	"return <Card style={styles.section}><AppText variant=""h6"" align=""right"">{title}</AppText><Input value={value} onChangeText={onChange} placeholder={placeholder} /><Button label={addLabel} variant=""outline"" size=""sm"" full={false} loading={adding} onPress={onAdd} />{items.length === 0 ? <AppText variant=""caption"" color={colors.textTertiary} align=""right"">لا توجد عناصر مسجلة.</AppText> : items.map((item) => <View key={item.id} style={[styles.item, { borderTopColor: colors.borderLight }]}><AppText va"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/sleep-tracker.tsx	178	placeholder	"<Input value={hours} onChangeText={setHours} placeholder=""عدد الساعات (مثال: 7.5)"" icon=""bedtime"" keyboardType=""numeric"" />"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/sleep-tracker.tsx	179	placeholder	"<Input value={score} onChangeText={setScore} placeholder=""تقييم الجودة من 100 (مثال: 80)"" icon=""sparkles"" keyboardType=""numeric"" />"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/emergency-contacts.tsx	175	placeholder	"placeholder=""الاسم"""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/emergency-contacts.tsx	183	placeholder	"placeholder=""صلة القرابة (اختياري)"""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/emergency-contacts.tsx	191	placeholder	"placeholder=""رقم الجوال"""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/vitals-log.tsx	63	placeholder	"{showForm && <View style={[styles.overlay, { backgroundColor: colors.overlay }]}><View style={[styles.sheet, { backgroundColor: colors.surface }]}><View style={styles.sheetHeader}><View style={{ width: 36 }} /><AppText variant=""h4"">إضافة {config.label}</AppText><IconButton icon=""close"" bg={colors.surfaceSecondary} color={colors.textPrimary} onPress={() => setShowForm(false)} /></View>{type === 'bp' ? <View style={styles.bp}><Input value={primary} onChangeText={setPrimary} placeholder=""الانقباضي"""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/health/wearables.tsx	77	sample	// Latest sample per metric — real data only	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/reviews/index.tsx	63	fake	// E2: real review endpoint (was a fake 1.5s success — nothing was ever saved)	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/reviews/index.tsx	192	placeholder	"placeholder=""شارك تجربتك مع الآخرين..."""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/mental-health/mood-journal.tsx	106	placeholder	"<TextInput value={sleep} onChangeText={setSleep} keyboardType=""decimal-pad"" maxLength={4} placeholder=""0–24"" placeholderTextColor={colors.textTertiary} style={[styles.shortInput, { color: colors.textPrimary, borderColor: colors.border, backgroundColor: colors.backgroundSecondary }]} />"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/mental-health/mood-journal.tsx	113	placeholder	"<TextInput value={note} onChangeText={setNote} maxLength={500} multiline textAlignVertical=""top"" placeholder={t('notePlaceholder')} placeholderTextColor={colors.textTertiary} style={[styles.noteInput, { color: colors.textPrimary, borderColor: colors.border, backgroundColor: colors.backgroundSecondary }]} />"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/mental-health/crisis-support.tsx	80	placeholder	"<View style={styles.modalBackdrop}><View style={[styles.modal, { backgroundColor: colors.surface }]}><AppText variant=""h5"" color={colors.textPrimary}>{t('addContact')}</AppText><TextInput value={name} onChangeText={setName} placeholder={t('contactName')} placeholderTextColor={colors.textTertiary} style={[styles.input, { color: colors.textPrimary, borderColor: colors.border, backgroundColor: colors.backgroundSecondary }]} /><TextInput value={phone} onChangeText={setPhone} keyboardType=""phone-pad"""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/articles/index.tsx	96	placeholder	"placeholder=""ابحث في المقالات…"""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/maternity/maternity-setup.tsx	16	placeholder	"return <View style={[styles.container, { backgroundColor: colors.background }]}><StatusBar barStyle={isDark ? 'light-content' : 'dark-content'} /><View style={[styles.header, { paddingTop: insets.top + 16 }]}><View style={{ width: 44 }} /><View style={styles.titleWrap}><AppText variant=""h3"">{t('setup')}</AppText><AppText variant=""caption"" color={colors.textTertiary}>{t('choosePath')}</AppText></View><IconButton icon=""back"" bg={colors.surfaceSecondary} color={colors.textPrimary} onPress={() => ro"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/nutrition/log-meal.tsx	42	placeholder	"<Animated.View entering={FadeInDown.delay(75).duration(300)}><Card style={styles.section}><SectionHeading value=""2"" title={t('logMeal')} colors={colors} /><Input value={name} onChangeText={setName} placeholder={t('mealName')} /><Input value={calories} onChangeText={setCalories} placeholder={t('caloriesInput')} keyboardType=""decimal-pad"" /><AppText variant=""caption"" color={colors.textTertiary} align=""right"">{t('mealNameHint')}</AppText></Card></Animated.View>"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/nutrition/log-meal.tsx	43	placeholder	"<Animated.View entering={FadeInDown.delay(150).duration(300)}><Card style={styles.section}><SectionHeading value=""3"" title={t('summary')} colors={colors} /><Input value={protein} onChangeText={setProtein} placeholder={t('proteinInput')} keyboardType=""decimal-pad"" /><Input value={carbs} onChangeText={setCarbs} placeholder={t('carbsInput')} keyboardType=""decimal-pad"" /><Input value={fat} onChangeText={setFat} placeholder={t('fatInput')} keyboardType=""decimal-pad"" /><Input value={fiber} onChangeTex"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/nutrition/body-target.tsx	23	placeholder	"return <View style={[styles.container, { backgroundColor: colors.background }]}><StatusBar barStyle={isDark ? 'light-content' : 'dark-content'} /><View style={[styles.header, { paddingTop: insets.top + 16 }]}><View style={{ width: 44 }} /><View style={styles.titleWrap}><AppText variant=""h3"">{t('bodyGoals')}</AppText><AppText variant=""caption"" color={colors.textTertiary}>{t('setupHint')}</AppText></View><IconButton icon=""back"" bg={colors.surfaceSecondary} color={colors.textPrimary} onPress={() =>"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/shared/location-picker.tsx	593	placeholder	"placeholder: ""اسم العنوان (مثال: المنزل)"","	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/shared/location-picker.tsx	596	placeholder	"{ key: ""street"", placeholder: ""الشارع والحي"", icon: ""location"" },"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/shared/location-picker.tsx	599	placeholder	"placeholder: ""رقم المبنى / اسمه"","	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/shared/location-picker.tsx	604	placeholder	"placeholder: ""الطابق (اختياري)"","	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/shared/location-picker.tsx	609	placeholder	"placeholder: ""ملاحظات للمندوب (اختياري)"","	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/shared/location-picker.tsx	623	placeholder	placeholder={field.placeholder}	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/nursing/live-tracking.tsx	92	fake	// E2: poll the live API every 15s (was: fetch once + a fake local ETA countdown)	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/map/index.tsx	179	fake	// and providers without real coordinates never appear as map markers at a fake Riyadh location	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/map/index.tsx	422	placeholder	"placeholder=""ابحث عن دكتور، صيدلية، مستشفى..."""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/family/calendar.tsx	256	placeholder	"<TextInput value={title} onChangeText={setTitle} placeholder=""عنوان الحدث"" placeholderTextColor={colors.textTertiary} style={[st.input, { color: colors.textPrimary, borderColor: colors.border, backgroundColor: colors.background }]} textAlign=""right"" maxLength={160} />"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/family/calendar.tsx	257	placeholder	"<TextInput value={eventDate} onChangeText={setEventDate} placeholder=""الموعد بصيغة 2026-09-01T10:00:00Z"" placeholderTextColor={colors.textTertiary} style={[st.input, { color: colors.textPrimary, borderColor: colors.border, backgroundColor: colors.background }]} textAlign=""left"" autoCapitalize=""none"" />"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/family/chat.tsx	173	placeholder	"<TextInput value={msg} onChangeText={setMsg} placeholder=""اكتب رسالة..."" placeholderTextColor={colors.textTertiary} style={[st.input, { backgroundColor: colors.surfaceSecondary, color: colors.textPrimary }]} onSubmitEditing={send} />"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/family/join.tsx	147	placeholder	"placeholder=""مثال: F7X2K9"""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/family/invite.tsx	79	placeholder	"<Input value={name} onChangeText={setName} placeholder=""اسم الفرد"" icon=""user"" />"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/family/member-health.tsx	105	dummy	// Honest failure: no permission or network — show empty state, not dummy data	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/(tabs)/diagnostics.tsx	111	placeholder	"placeholder={mainTab === 'labs' ? ""ابحث عن تحليل، باقة، أو مختبر..."" : ""ابحث عن نوع الأشعة أو المركز...""}"	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/(tabs)/pharmacy.tsx	136	mock	// Offline — cached copy (if any) already shown above; never mock data	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/(tabs)/pharmacy.tsx	229	placeholder	placeholder={lang === 'ar' ? 'ابحث بالاسم أو المادة الفعالة...' : 'Search medicines...'}	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
patient-mobile	app/(tabs)/nursing.tsx	120	placeholder	"placeholder=""ابحث عن خدمة أو ممرض..."""	STATIC_CANDIDATE_REQUIRES_SCREEN_AND_RUNTIME_REVIEW	REAL_BACKEND_CONTRACT | TEST_ONLY_FIXTURE | LEGITIMATE_COPY | REMOVE
