confirmed_root_label	raw_ids	final_root_id	exact_evidence	cause_statement	business_rule	owner	derived_ids	disposition	reviewer_note
CONFIRMED_ROOT_ARCHITECTURE_DEFECT_RULE_ENGINE_NOT_ENFORCED	F-921	R-21A	src/modules/business-rules/business-rules.module.ts:2–7,142–163	Business-rules policy evaluation trusts caller context, lacks persisted/versioned surge/eligibility/capability authority and fail-closed missing/invalid inputs, can issue nonauthoritative pricing/payment results, and lacks admin separation/concurrency/redacted projection enforcement.	Business policy evaluation receives authoritative typed context only, is versioned/persisted and concurrency-safe, fails closed for unknown/missing eligibility/capability/payment inputs, returns bounded/redacted explainable results, and is enforced at owning commands with separated policy administration.	Business Policy Platform + Domain Owners	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; insurance, payment, pricing, provider capability and booking aggregates retain authority for their own decisions and settlements.
CONFIRMED_ROOT_ASSET_SAFETY_DEFECT_INSURANCE_LOGO_HASH_ONLY_NO_MIME_DIMENSION_SOURCE_IDENTITY_VALIDATION	F-1823	R-04D	scripts/publish-insurance-logo-assets.ts:24–29	Insurance-logo publication lacks approved target/operator binding, signed/versioned schema-valid manifest, source licensing/identity and asset safety validation, safe origin path policy, versioned object rollback, atomic object/catalog linkage, result assertion and immutable review/audit/release idempotency.	Insurance public assets are published only from approved target-bound signed/versioned manifests; source licence/identity and file MIME/dimensions are validated, object/catalog updates are versioned/reconcilable/rollbackable, public origin is allowlisted, and each operator/review/revision/result is immutable and auditable.	Insurance Catalog + Release/Data Governance + Media	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; no script, S3/object store, manifest, logo, catalog or deployment action was performed.
CONFIRMED_ROOT_AUDIT_DEFECT_ADMIN_COMMAND_CENTER_DETAIL_PARAM_VALIDATION_PURPOSE_READ_AUDIT	F-1019	R-21C	src/modules/admin-command-center/admin-command-center.module.ts:147–154	Admin command center combines operational state from heterogeneous sources without verified scope/freshness/completeness/confidence, canonical identity resolution, purpose-safe PHI/payment projections, redacted failure snapshots or audited bounded detail reads.	Admin command center is a read-model only: it resolves canonical identities and source metadata, presents explicit freshness/completeness/confidence/stuck state, enforces provider/admin/purpose scope, exposes minimum redacted PHI/payment details and validates/audits bounded detail requests; it never creates domain truth.	Admin Operations + Privacy + Domain Owners	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; finance, clinical, booking, provider and identity aggregates retain source-of-truth ownership and mutation authority.
CONFIRMED_ROOT_AUDIT_DEFECT_ADMIN_EVENTS_SENSITIVE_READ_AUDIT_TRAIL	F-3033	R-09C	src/modules/events/events.controllers.ts:12–29	Administrative event/trace reads lack typed normalized event/entity filters, finite time/limit/cursor/order/timeout bounds, cross-domain purpose scope, redacted before/after metadata and sensitive-read audit trail.	Event administration uses allowlisted typed normalized filters, stable bounded cursor/time/query contract, actor/purpose/domain scope, minimum redacted metadata and immutable sensitive-read audit; it is a read surface, not event production authority.	Event Platform + Admin Privacy/Security	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; durable domain event/outbox lifecycle remains R-09A/R-16 and no event query or runtime operation was run.
CONFIRMED_ROOT_AUDIT_DEFECT_ADMIN_OVERRIDE_DUAL_CONTROL_TICKET_IMMUTABLE_EVENT_DURABILITY	F-800	R-21G	src/modules/patient-ux/patient-ux.module.ts:204–215,229–240,255–267	Admin overrides lack dual-control ticket and immutable event durability.	Privileged overrides require dual approval, scoped ticket, immutable actor/reason/event record and reconciliation.	Admin Authority + Security	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual admin-override root.
CONFIRMED_ROOT_AUDIT_DEFECT_HOSPITAL_STAFF_PRIVILEGED_MUTATION_ACTOR_REASON_EVENT_DURABILITY	F-3809	R-23C	src/modules/hospital-staff/hospital-staff.module.ts:47–80	Hospital staff onboarding/maintenance lacks verified credential/qualification/approval, owner-account and permission invariants, fee provenance, typed commands, MFA/session/offboarding lifecycle, idempotency and purpose-safe audit projections.	Hospital staff records bind a verified qualified identity to one authoritative owner account and allowlisted permissions; credential approval, fee/currency provenance, typed commands, MFA/reset/revocation, suspension/offboarding, assignment retention, idempotency and immutable actor/reason audit are enforced.	Hospital Staff Operations + Security/Privacy	F-3800	FINAL_MAPPED	Manual mapping; payment settlement, clinical scheduling and external credential verification execution remain separate dependencies/gates.
CONFIRMED_ROOT_AUDIT_DEFECT_INSURANCE_LOGO_MUTABLE_LINK_NO_IMMUTABLE_OPERATOR_REVIEW_VERSION_HISTORY	F-1827	R-04D	scripts/publish-insurance-logo-assets.ts:43–49	Insurance-logo publication lacks approved target/operator binding, signed/versioned schema-valid manifest, source licensing/identity and asset safety validation, safe origin path policy, versioned object rollback, atomic object/catalog linkage, result assertion and immutable review/audit/release idempotency.	Insurance public assets are published only from approved target-bound signed/versioned manifests; source licence/identity and file MIME/dimensions are validated, object/catalog updates are versioned/reconcilable/rollbackable, public origin is allowlisted, and each operator/review/revision/result is immutable and auditable.	Insurance Catalog + Release/Data Governance + Media	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; no script, S3/object store, manifest, logo, catalog or deployment action was performed.
CONFIRMED_ROOT_AUDIT_DEFECT_NOTIFICATION_CAMPAIGN_CANCEL_REASON_ACTOR_VERSION_IDEMPOTENCY	F-863	R-09B	src/modules/admin-notification-center/admin-notification-center.module.ts:215–220,401–407	Notification preferences, campaign/reminder commands and delivery/read outcomes lack a unified approved-audience/template/link, atomic claim/idempotency, provider receipt/failure and privacy-safe analytics contract.	Notification commands use consent/preference/suppression-aware authoritative audience snapshots, approved localized templates and scoped links; campaigns/reminders are idempotent leased jobs with durable attempts/receipts/read outcomes, bounded analytics and actor/reason audit.	Notifications + Admin Operations + Patient Mobile	F-032,F-154,F-167,F-871,F-906,F-1496,F-1497,F-1498	FINAL_MAPPED	Manual mapping; OTP/mail/SMS transport, chat/realtime and domain event production are deliberately excluded for separate roots.
CONFIRMED_ROOT_AUDIT_DEFECT_OTP_ISSUANCE_MAIL_DELIVERY_PRIVACY_SAFE_CORRELATION	F-1124	R-01A	src/modules/notifications/processors/mail.processor.ts:9–18	OTP mail delivery job lacks privacy-safe correlation from authenticated issuance challenge through queued attempt, provider outcome, expiry/attempt/cancellation state and audit.	OTP authentication uses a server-owned challenge with normalized destination and issuer/purpose, one-time code hash, expiry/attempt/cancellation enforcement, idempotent delivery command and privacy-safe correlation/audit. Delivery transport is a dependency, not authentication success.	Identity/Auth + Notification Platform	F-1125	FINAL_MAPPED	Manual mapping from frozen backend archive. F-1118/F-1123 and F-1119 remain existing OTP mappings; F-1122 DLQ configuration/redaction/retention remains a runtime verification gate and F-1126 remains rejected. No OTP, mail queue, recipient, provider or runtime service was accessed.
CONFIRMED_ROOT_AUDIT_DEFECT_PROVIDER_JOB_ACTOR_ROLE_PROVENANCE	F-1276	R-16G	src/modules/provider-jobs/provider-jobs.module.ts:188–210	Provider job queues can expose excess clinical/contact data, fabricate commercial defaults, use global unbounded pagination, lack actor/role provenance and accept weak command identifier/reason input.	Provider job queues use minimum necessary clinical/contact DTOs, authoritative commercial fields, bounded scoped pagination, verified actor/role provenance and typed validated idempotent command reasons with audit.	Provider Jobs + Clinical Privacy + Workflow	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual provider-jobs root; queue execution and runtime workers were not accessed.
CONFIRMED_ROOT_AUDIT_DEFECT_SERVICE_CATALOG_APPROVAL_STATE_REASON_VERSION_IDEMPOTENCY	F-711	R-12A	src/modules/service-catalog/service-catalog.module.ts:130–136,199–202	Service catalog commands lack a single typed allowlisted owner/version/approval/schedule/publication lifecycle with immutable-field and projection controls.	Catalog entries use typed entity/owner/field rules, explicit capability/approval/reason/version/idempotency, bounded schedule semantics, immutable patch/delete protections and least-data admin/public projections; publication follows a durable reconciled lifecycle.	Service Catalog + Provider Governance	F-612,F-715,F-717,F-937,F-949,F-2834	FINAL_MAPPED	Manual mapping; provider/facility authorization F-709 and slot/timezone F-713 remain in R-02/R-03 dependencies.
CONFIRMED_ROOT_AUDIT_OPERATIONS_DEFECT_RECONCILIATION_NO_DURABLE_JOB_CHECKPOINT_APPROVAL	F-703	R-16F	src/modules/consistency/consistency.module.ts:126–157	Consistency reconciliation uses weak duplicate/invariant/stuck heuristics, lacks bounded coverage/cursor and SLA recovery, and has no durable approved checkpointed job lifecycle.	Consistency work uses explicit per-domain invariants and overlap confidence, bounded resumable coverage, time/SLA recovery classification, durable checkpointed approved jobs and immutable reconciliation evidence; it never infers or changes truth silently.	Platform Reliability + Domain Owners	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual reconciliation root; source aggregate state remains authoritative and no job was run.
CONFIRMED_ROOT_AUTHENTICATED_UNVERIFIED_DIAGNOSTIC_CALLBACK_DEFECT_JWT_ONLY_RAW_URL_APPOINTMENT_NO_SIGNED_SENDER_LINKAGE_IDEMPOTENCY	F-551	R-07A7	src/modules/care/doctor-referrals.controller.ts:94–114	Diagnostic callback accepts raw appointment ID/file URLs with no signed sender/service identity, referral/appointment state linkage, safe asset provenance, replay/idempotency or durable notification outcome.	Clinical referral issuance verifies the active clinician role/credential, appointment and patient encounter relationship, typed bounded requested services/clinical input, version/CAS idempotency and immutable clinician/actor/reason audit. Diagnostic return uses an authenticated authorized sender/capability bound to the referral and encounter, approved safe asset references with provenance, idempotent status transition/outbox/reconciliation and purpose-scoped PHI notification; no callback or URL is delivery or clinical-result truth by itself.	Clinical Referrals + Diagnostic Integration + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping from frozen backend archive. Commercial referral/loyalty roots are unrelated. No referral, appointment, patient, diagnostic file, sender credential, notification or runtime operation was accessed.
CONFIRMED_ROOT_AUTHORIZATION_DATA_PURPOSE_DEFECT_AI_FEATURE_ROUTES_NO_EXPLICIT_SUBJECT_OWNER_PURPOSE_ROLE_CONTRACT_BEYOND_JWT	F-223	R-17A	src/modules/ai/ai.controller.ts:65–168 ; src/modules/ai/ai.service.ts:134–216,260–337	AI feature processing lacks explicit subject/owner/purpose authorization, consented/redacted external-data policy, provider feature/class/residency safety equivalence and truthful typed unavailable/provenance outcome.	AI use is a policy-authorized purpose-bound operation with data minimization/redaction/consent/retention/residency controls; provider selection/fallback is feature/class/safety governed and results carry typed availability and provenance rather than fabricated empty success.	AI Platform + Clinical Privacy + Security	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; AI quota ledger is R-05E and provider secret storage/rotation is a security/configuration root.
CONFIRMED_ROOT_AUTHORIZATION_DEFECT_B2B_LIST_ANY_JWT_NO_ROLE_ORGANIZATION_REQUEST_SCOPE	F-403	R-21K	src/modules/admin-governance/b2b.controller.ts:8–22	B2B request list/decision can bypass role/organization/request scope, versioned current-state CAS/idempotency/maker-checker/audit, bounded/redacted note/document projections and canonical organization quote/price/currency authority.	B2B requests are organization-scoped and role/purpose-authorized; approve/reject uses current-state CAS/idempotency, maker-checker and immutable actor/reason audit; notes/documents are bounded/redacted/retained by policy, lists are paginated/minimum/degraded-aware, and commercial status derives from canonical quote/price/currency authority.	B2B/Commercial Operations + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; no B2B request, commercial record, note, API or runtime operation was accessed.
CONFIRMED_ROOT_AUTHORIZATION_DEFECT_CHAT_PERMISSIONS_EVALUATES_THREAD_FAMILY_BOOKING_BEFORE_PARTICIPANT_ASSERTION	F-308	R-18B	src/modules/chat/chat.module.ts:24–41	Chat/family/appointment communication trusts client participant/sender state, permits arbitrary membership, lacks relationship/booking fail-closed checks, durable message/unread/replay lifecycle and bounded safe content/media policy.	Chat members are server-verified against active family/booking/appointment relationships and invitation/owner policy; commands are typed, idempotent and durable with participant/state audit, minimum PHI projection/retention, bounded media/content controls and authoritative closure/read lifecycle.	Chat/Communication + Clinical Privacy	F-070,F-312,F-729,F-1493	FINAL_MAPPED	Manual mapping; notification templates/delivery and safe media storage are shared dependencies, not merged causes.
CONFIRMED_ROOT_AUTHORIZATION_DEFECT_COMMUNITY_ADMIN_MODERATION_NO_EXPLICIT_ROLE_ACTOR_AUDIT	F-199	R-19A	src/modules/community/community.controller.ts:51–61	Community admin moderation endpoint lacks explicit privileged role/step-up reviewer binding, reason, transition policy and immutable actor/outcome audit.	Community actions are server-authorized trust workflows: posts/comments/live sessions use typed bounded sanitized content, approved safe-media/stream references, owned host/member relationships, explicit state transitions and minimum public projection. Moderation requires privileged step-up reviewer role, reason, immutable actor/outcome audit, appeal/reconciliation and idempotent commands; anonymous UI mode never removes server accountability.	Community Trust & Safety + Security/Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping from frozen backend archive. F-198 remains an independently rejected missing-user guard false positive. No community post, comment, session, stream, moderation action or runtime operation was accessed.
CONFIRMED_ROOT_AUTHORIZATION_DEFECT_COTURN_ANY_JWT_CREDENTIAL_ISSUANCE_NO_CALL_SESSION_PARTICIPANT_PURPOSE_ACCOUNT_SCOPE	F-585	R-18C	src/modules/coturn/coturn.controller.ts:5–18 ; src/modules/coturn/coturn.service.ts:52–67	Video/call and TURN credentials lack verified call/participant/session binding, signed webhook acceptance, safe credential issuance/rotation, call-state/idempotency and privacy-safe metrics/admin projection lifecycle.	Call access and TURN credentials are issued only for an authorized active participant/session with audience/expiry/one-time/no-store controls; webhook and remote actions are verified/idempotent, state/attendance is authoritative and metrics/admin views are minimized/audited/retained by policy.	Calls/LiveKit/TURN + Security/Privacy	F-353,F-627,F-628,F-629,F-630,F-631	FINAL_MAPPED	Manual mapping; runtime TURN/LiveKit connectivity and credential rotation remain external verification gates.
CONFIRMED_ROOT_AUTHORIZATION_DEFECT_CUSTOM_SERVICES_ADMIN_LIST_NO_ROLE_ACTOR_PROVIDER_ORG_SCOPE	F-599	R-02A	src/modules/custom-services/custom-services.controller.ts:16–18 ; src/modules/custom-services/custom-services.service.ts:50–56	Privileged provider/admin commands and reads rely on JWT or broad role context without a consistently verified role, organization/facility assignment, resource relationship, purpose, state and actor/reason audit boundary.	Every privileged provider/admin read or mutation is deny-by-default and verifies active role, organization/facility assignment, resource relationship, purpose and command state; sensitive actions carry immutable actor/reason audit and bounded projections.	Identity/Authorization + Provider Operations + Admin Governance	F-606,F-679,F-681,F-683,F-875,F-878,F-880,F-883,F-887	FINAL_MAPPED	Manual mapping; finance/legal/facility/clinical/realtime/release authorization labels remain intentionally owned by their specialized roots with R-02A dependency where applicable.
CONFIRMED_ROOT_AUTHORIZATION_DEFECT_PROVIDER_DELTA_MODERATION_NO_ROLE_PERMISSION_STEPUP_ACTOR_BOUNDARY	F-385	R-21L	src/modules/admin-web-core/controllers/provider-moderation.controller.ts:8–14,44–118	Provider-delta moderation lacks privileged role/permission/step-up actor boundary, minimum masked list, canonical profile target, atomic apply/status/event, durable cleanup, CAS/idempotency/reviewer audit and truthful zero-apply/downstream outcome.	Provider moderation uses a step-up authorized reviewer and canonical provider target, masked/bounded PII views, versioned CAS/idempotent review commands, atomic profile-apply/status/outbox where possible, durable cleanup/reconciliation and immutable reviewer/reason/outcome audit.	Provider Onboarding/Moderation + Privacy/Security	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; storage mechanics remain R-22C and provider onboarding draft lifecycle remains R-21D. No moderation or storage action was performed.
CONFIRMED_ROOT_AVAILABILITY_DATA_CONTRACT_DEFECT_NUTRITION_UNBOUNDED_HISTORY_NO_PROJECTION_TIMEZONE_UNDECLARED	F-431	R-07C	src/modules/nutrition/nutrition.service.ts:29–35,134–142,155–163,181–188	Nutrition profile/log commands lack idempotency/replay/audit, expose broad allergy/restriction/measurement data and unbounded history, use inefficient unbounded daily reads and present user-entered macro/exercise values without self-reported provenance.	Nutrition data uses authorized typed idempotent profile/log commands with audit; data is minimum purpose-scoped projection, history is time-zone declared and bounded, summaries use bounded aggregate computation, and user-entered nutrition/exercise values are explicitly self-reported rather than clinical truth.	Patient Health Profile + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; no nutrition, allergy, restriction, measurement or health data was accessed.
CONFIRMED_ROOT_AVAILABILITY_DEFECT_ADMIN_HEATMAP_UNBOUNDED_THIRTY_DAY_COORDINATE_LOAD_NO_DB_AGGREGATION_CAP	F-400	R-21E	src/modules/admin-web-core/controllers/analytics.controller.ts:40–58	Administrative heatmap exposes sensitive emergency/home demand without k-anonymity/suppression/audit, suppresses source failures, permits unbounded coordinate load and lacks range/precision/taxonomy contracts.	Location analytics use minimum aggregated k-anonymous/suppressed data with purpose-scoped audit, bounded server-side aggregation/query budgets, validated spatial range/precision and canonical source taxonomy; source failure is explicit rather than represented as live/empty truth.	Analytics/Data Platform + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; no heatmap, location, database or runtime data was accessed.
CONFIRMED_ROOT_AVAILABILITY_DEFECT_PRESENCE_BULK_UNBOUNDED_ARBITRARY_USER_IDS_PROMISE_ALL	F-333	R-18D	src/modules/presence/presence.service.ts:75–77	Presence service has non-atomic multi-device disconnect transitions, discloses online/last-seen/device count without relationship/purpose policy, permits unbounded arbitrary bulk lookups and reports Redis outage as offline/zero truth.	Presence uses atomic device/session lifecycle, explicit relationship/purpose/consent minimum projection, bounded scoped bulk access and an explicit unavailable/degraded state when Redis cannot establish authoritative presence; it never fabricates offline/zero.	Realtime Platform + Privacy + Reliability	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; Redis/presence runtime behavior remains an external verification gate and no user presence data was accessed.
CONFIRMED_ROOT_AVAILABILITY_DEFECT_PUBLIC_ARTICLE_UNESCAPED_UNBOUNDED_MONGO_REGEX_SEARCH	F-555	R-12B	src/modules/articles/articles.module.ts:23–32	Public and cross-domain discovery searches lack consistent bounded/escaped query, sensitivity, verified-publication, minimum projection and retention contracts.	Discovery/search inputs are typed, escaped and resource-bounded; results are from verified/publication-authorized entities only, return minimum public DTOs, protect sensitive terms and apply pagination/cursor/retention/audit policy.	Public Discovery/Search + Privacy	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping; admin directory, recruitment, ratings and other vertical searches remain specialized roots.
CONFIRMED_ROOT_AVAILABILITY_DEFECT_SYSTEM_HEALTH_REAL_PROBE_NO_EXPLICIT_DEADLINE_BUDGET_CACHE_RATE_POLICY	F-531	R-15A	src/modules/system-health/system-health.controller.ts:13–26,29–36	Health/readiness surfaces conflate liveness and readiness, report static/fake Redis success or lack dependency deadlines, degraded truth and redacted failure evidence.	Readiness is a measured dependency-aware contract separate from liveness, with explicit criticality, deadline/budget, safe degraded state, redacted evidence and no fake fallback PONG/always-OK result.	Platform Operations/SRE	F-165,F-530,F-1325	FINAL_MAPPED	Manual mapping; actual dependency availability remains a controlled runtime verification gate.
CONFIRMED_ROOT_AVAILABILITY_OBSERVABILITY_DEFECT_OPS_OVERVIEW_REDIS_SCAN_PRESENCE_SESSION_KEYSPACE_NO_COUNTER_BUDGET_DEGRADED_TRUTH	F-521	R-21C	src/modules/ops/ops.controller.ts:24–50	Ops overview scans Redis presence/session keyspaces with a large ad hoc cap and converts unavailable data to empty counts without cost budget or explicit degraded/completeness truth.	Admin operations is a read model, not readiness or domain truth: it uses bounded canonical source queries/cursors and identity contracts, shows explicit source/freshness/completeness/degraded/unknown status, preserves global ordering semantics, enforces purpose/retention limits and exposes redacted minimum projections with audited detail access. Missing or failed sources may never be represented as zero/success.	Admin Operations + SRE + Privacy + Domain Owners	NONE_FOUND_AFTER_TARGETED_SEARCH	FINAL_MAPPED	Manual mapping from frozen backend archive. This is operational read-model truth only; readiness and Redis runtime behavior remain separate gates. No Redis, MongoDB, ops data, audit data or runtime endpoint was accessed.
