journey_id	domain	mobile_screen	primary_action	mobile_api_evidence	web_surface	web_status	required_proof	audit_status
J-016	consultations	consultations/incoming-call.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /calls/${sessionId}/reject"	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-017	consultations	consultations/doctor-profile.tsx	read	no direct call found	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-018	pharmacy	pharmacy/product-detail.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /medicines/${id}/details?lang=${currentDbLang()} | /medicines/${id}/suggest-change	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-019	pharmacy	pharmacy/cart.tsx	read	no direct call found	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-020	pharmacy	pharmacy/checkout.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /users/me/profile | /wallet/balance	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-021	pharmacy	pharmacy/payment.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /orders/${orderId} | /payments/intent/pharmacy/${orderId}	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-022	pharmacy	pharmacy/order-tracking.tsx	read	import { apiFetch } from '../../src/utils/api'; | /orders/${orderIdStr}/tracking | fetch();	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-023	pharmacy	pharmacy/reorder.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /orders/${orderId} | /orders/${orderId}/reorder	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-024	pharmacy	pharmacy/manual-order.tsx	read	no direct call found	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-025	pharmacy	pharmacy/custom-item.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /media/upload | /support/requests"	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-026	pharmacy	pharmacy/chat-with-pharmacist.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /orders/${orderId} | /chat/threads/booking	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-027	pharmacy	pharmacy/order-confirm.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /orders/${orderId} | /orders/${orderId}/approve-basket	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-028	pharmacy	pharmacy/broadcast-status.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /orders/bids/request/${orderId} | /orders/bids/${bidId}/accept	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-029	health	health/vitals-log.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /health/vitals?type=${type}&limit=30 | /health/vitals	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-030	health	health/sleep-tracker.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /health/sleep?limit=30 | /health/sleep	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-031	health	health/medication-reminder-list.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /health/reminders | /health/reminders/${reminder.id}/log	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-032	health	health/medication-reminder-add.tsx	read	import { apiFetch } from '../../src/utils/api'; | /health/reminders | const response: any = await apiFetch(editing ? `/health/reminders/${id}` : '/health/reminders', { method: editing ? 'PATCH' : 'POST', body: JSON.stringify(payload) });	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-033	health	health/refills.tsx	mutation	/health/reminders?active=1 | /health/reminders/${id}/refill | import { apiFetch } from '../../src/utils/api';	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-034	health	health/chronic-medications.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /health/chronic-meds | /health/reminders/${id}${suffix}	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-035	health	health/emergency-contacts.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /health/emergency-contacts"	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-036	health	health/edit-profile.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /users/me/profile | /medical-profile	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-037	health	health/conditions-allergies.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /medical-profile | /medical-profile/${list}	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-038	health	health/wearables.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /wearables/devices | /wearables/data	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-039	mental-health	mental-health/mood-journal.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /mental-health/mood?days=30 | /mental-health/mood	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-040	mental-health	mental-health/breathing.tsx	read	no direct call found	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-041	mental-health	mental-health/meditation.tsx	read	no direct call found	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-042	mental-health	mental-health/crisis-support.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /mental-health/crisis-contacts	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-043	family	family/hub.tsx	read	"import { apiFetch } from ""../../src/utils/api""; | /family/members"	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-044	family	family/invite.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /family/invite	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-045	family	family/join.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /family/join"	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-046	family	family/permissions.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /family/my-group | /family/member/${memberId}/permissions"	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-047	family	family/permission-request.tsx	mutation	/family/permissions/pending | /family/permissions/respond/${requestInfo._id || requestInfo.id}	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-048	family	family/chat.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /family/chat/messages | /users/me/profile	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-049	family	family/calendar.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /family/members | /family/calendar/event"	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-050	reports	reports/hub.tsx	read	"import { apiFetch } from ""../../src/utils/api""; | /medical-reports/mine?limit=100"	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-051	notifications	notifications/index.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /notifications | /notifications/read-all	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-052	settings	settings/index.tsx	read	no direct call found	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-053	settings	settings/security.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /users/me/security-settings"	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-054	settings	settings/feedback.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /support/feedback"	candidate from db404ee8	READ_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-055	insurance	insurance/hub.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /users/me/insurance | /insurance/claims	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-056	insurance	insurance/add-policy.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /insurance/companies | /insurance/ocr-extract	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-057	nutrition	nutrition/hub.tsx	read	import { apiFetch } from '../../src/utils/api'; | error	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-058	nutrition	nutrition/log-meal.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /nutrition/meals	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-059	wallet	wallet/hub.tsx	mutation	import { apiFetch } from '../../src/utils/api'; | /wallet/cards	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-060	wallet	wallet/topup.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /wallet/balance | /wallet/topup"	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
J-061	support	support/chat.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /support/chat"	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-062	search	search/index.tsx	read	import { apiFetch } from '../../src/utils/api'; | /home/search?q=${encodeURIComponent(query)}	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-063	articles	articles/index.tsx	read	"import { apiFetch } from ""../../src/utils/api""; | /articles?${params.toString()} | /articles/categories"	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-064	articles	articles/[slug].tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /articles/${encodeURIComponent(String(slug))} | /articles?category=${encodeURIComponent(res.category)}&limit=4"	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-065	community	community/hub.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /community/posts?page=1&limit=20${qs} | /community/posts"	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-066	(auth)	(auth)/forgot-password.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /auth/send-otp"	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-067	(auth)	(auth)/provider-info.tsx	read	no direct call found	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-068	(auth)	(auth)/reset-password.tsx	mutation	"import { apiFetch } from ""../../src/utils/api""; | /auth/reset-password"	candidate from db404ee8	PUBLIC_OR_AUTH_FLOW	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-069	(onboarding)	(onboarding)/index.tsx	read	no direct call found	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-070	(onboarding)	(onboarding)/language.tsx	read	no direct call found	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-071	(onboarding)	(onboarding)/permissions.tsx	read	no direct call found	candidate from db404ee8	REVIEW_REQUIRED	owner 200; stranger 404; unauth 401; replay for mutation	CONTRACT_STATUS_REQUIRES_RECHECK
J-072	(tabs)	(tabs)/consultations/index.tsx	read	import { apiFetch } from '../../../src/utils/api'; | /providers?type=doctor | /care/specialties	candidate from db404ee8	BLOCKED_OR_CONTRACT_REVIEW	owner 200; stranger 404; unauth 401; replay for mutation	BLOCKED_OR_DEFERRED
