mobile_file	domain	status	priority	owner	scope	action_markers	navigation_markers	web_route_candidates	evidence_required
articles/index.tsx	articles	MISSING_WEB_SURFACE	P1	Web + Backend	Article detail, bookmarks, related content	6	2		live contract + SSR/security test + full journey test
community/hub.tsx	community	MISSING_WEB_SURFACE	P2	Web + Backend	Posts, votes, moderation	7	1		live contract + SSR/security test + full journey test
community/post-detail.tsx	community	MISSING_WEB_SURFACE	P2	Web + Backend	Posts, votes, moderation	6	0		live contract + SSR/security test + full journey test
consultations/appointment-detail.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	10	8		live contract + SSR/security test + full journey test
consultations/appointments.tsx	consultations	PARTIAL_ACTION_PROOF_REQUIRED	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	8	5	/[locale]/appointments	live contract + SSR/security test + full journey test
consultations/book/[id].tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	9	3		live contract + SSR/security test + full journey test
consultations/booking-confirm.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	6	4		live contract + SSR/security test + full journey test
consultations/booking-pending.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	4	5		live contract + SSR/security test + full journey test
consultations/booking-success.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	2	4		live contract + SSR/security test + full journey test
consultations/call-history.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	2	1		live contract + SSR/security test + full journey test
consultations/cancel-reschedule.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	9	2		live contract + SSR/security test + full journey test
consultations/chat-with-doctor.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	3	0		live contract + SSR/security test + full journey test
consultations/clinic/[id].tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	2	1		live contract + SSR/security test + full journey test
consultations/clinic-confirm.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	7	4		live contract + SSR/security test + full journey test
consultations/clinic-location.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	3	0		live contract + SSR/security test + full journey test
consultations/doctor/[id].tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	12	3		live contract + SSR/security test + full journey test
consultations/doctor-profile.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	0	2		live contract + SSR/security test
consultations/doctor-search.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	3	2		live contract + SSR/security test + full journey test
consultations/follow-up.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	6	3		live contract + SSR/security test + full journey test
consultations/home-visit-tracking.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	3	1		live contract + SSR/security test + full journey test
consultations/incoming-call.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	2	1		live contract + SSR/security test + full journey test
consultations/offer/[id].tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	0	0		live contract + SSR/security test
consultations/post-call-rating.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	4	2		live contract + SSR/security test + full journey test
consultations/prescription-from-doctor.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	9	4		live contract + SSR/security test + full journey test
consultations/share-report.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	4	1		live contract + SSR/security test + full journey test
consultations/specialty-select.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	3	1		live contract + SSR/security test + full journey test
consultations/summary.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	3	3		live contract + SSR/security test + full journey test
consultations/video/[id].tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	0	0		live contract + SSR/security test
consultations/video-call.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	3	1		live contract + SSR/security test + full journey test
consultations/virtual-waiting-room.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	2	1		live contract + SSR/security test + full journey test
consultations/waiting-room.tsx	consultations	MISSING_WEB_SURFACE	P0	Web + Backend	Booking, payment, cancel, reschedule, call room	2	1		live contract + SSR/security test + full journey test
delivery/address-select.tsx	delivery	MISSING_WEB_SURFACE	P1	Web + Backend	Delivery tracking	5	2		live contract + SSR/security test + full journey test
diagnostics/book-sample.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	2	1		live contract + SSR/security test + full journey test
diagnostics/booking-confirm.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	0	0		live contract + SSR/security test
diagnostics/booking-success.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	2	3		live contract + SSR/security test + full journey test
diagnostics/cart.tsx	diagnostics	PARTIAL_ACTION_PROOF_REQUIRED	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	9	3	/[locale]/cart	live contract + SSR/security test + full journey test
diagnostics/checkout.tsx	diagnostics	READ_CANDIDATE_CONTRACT_PROOF_REQUIRED	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	0	0	/[locale]/cart/checkout	live contract + SSR/security test
diagnostics/insurance-approval.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	5	4		live contract + SSR/security test + full journey test
diagnostics/insurance-upload.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	14	3		live contract + SSR/security test + full journey test
diagnostics/lab/[id].tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	6	2		live contract + SSR/security test + full journey test
diagnostics/lab-comparison.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	2	1		live contract + SSR/security test + full journey test
diagnostics/my-results.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	2	1		live contract + SSR/security test + full journey test
diagnostics/order/[id].tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	8	1		live contract + SSR/security test + full journey test
diagnostics/orders.tsx	diagnostics	PARTIAL_ACTION_PROOF_REQUIRED	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	4	1	/[locale]/orders	live contract + SSR/security test + full journey test
diagnostics/package-detail.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	3	1		live contract + SSR/security test + full journey test
diagnostics/packages.tsx	diagnostics	PARTIAL_ACTION_PROOF_REQUIRED	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	3	1	/[locale]/diagnostics/packages	live contract + SSR/security test + full journey test
diagnostics/results-history.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	2	1		live contract + SSR/security test + full journey test
diagnostics/sample-tracking.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	0	0		live contract + SSR/security test
diagnostics/search.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	2	1		live contract + SSR/security test + full journey test
diagnostics/technician-tracking.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	0	0		live contract + SSR/security test
diagnostics/test-detail.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	4	2		live contract + SSR/security test + full journey test
diagnostics/upload-rx.tsx	diagnostics	MISSING_WEB_SURFACE	P0	Web + Backend	Lab/radiology booking, cart, uploads, results	0	0		live contract + SSR/security test
drug-scanner/index.tsx	drug-scanner	MISSING_WEB_SURFACE	P1	Web + Backend	Scan/upload and medicine resolution	6	1		live contract + SSR/security test + full journey test
emergency/index.tsx	emergency	MISSING_WEB_SURFACE	P0	Web + Backend + Medical	SOS/call routing and escalation	0	0		live contract + SSR/security test
emergency/sos-active.tsx	emergency	MISSING_WEB_SURFACE	P0	Web + Backend + Medical	SOS/call routing and escalation	5	1		live contract + SSR/security test + full journey test
emergency/sos.tsx	emergency	MISSING_WEB_SURFACE	P0	Web + Backend + Medical	SOS/call routing and escalation	8	2		live contract + SSR/security test + full journey test
emergency/tracking.tsx	emergency	PARTIAL_ACTION_PROOF_REQUIRED	P0	Web + Backend + Medical	SOS/call routing and escalation	5	1	/[locale]/orders/[orderId]/tracking	live contract + SSR/security test + full journey test
family/calendar.tsx	family	MISSING_WEB_SURFACE	P1	Web + Backend	Members, permissions, ownership	8	0		live contract + SSR/security test + full journey test
family/chat.tsx	family	PARTIAL_MUTATION_CONTRACT_REQUIRED	P1	Web + Backend	Members, permissions, ownership	4	0	/[locale]/chat	live contract + SSR/security test + full journey test
family/emergency-contacts.tsx	family	PARTIAL_ACTION_PROOF_REQUIRED	P1	Web + Backend	Members, permissions, ownership	7	3	/[locale]/health/emergency-contacts	live contract + SSR/security test + full journey test
family/hub.tsx	family	MISSING_WEB_SURFACE	P1	Web + Backend	Members, permissions, ownership	7	7		live contract + SSR/security test + full journey test
family/index.tsx	family	MISSING_WEB_SURFACE	P1	Web + Backend	Members, permissions, ownership	0	0		live contract + SSR/security test
family/invite.tsx	family	MISSING_WEB_SURFACE	P1	Web + Backend	Members, permissions, ownership	5	0		live contract + SSR/security test + full journey test
family/join.tsx	family	MISSING_WEB_SURFACE	P1	Web + Backend	Members, permissions, ownership	6	2		live contract + SSR/security test + full journey test
family/member-health.tsx	family	MISSING_WEB_SURFACE	P1	Web + Backend	Members, permissions, ownership	4	3		live contract + SSR/security test + full journey test
family/permission-request.tsx	family	MISSING_WEB_SURFACE	P1	Web + Backend	Members, permissions, ownership	4	0		live contract + SSR/security test + full journey test
family/permissions.tsx	family	MISSING_WEB_SURFACE	P1	Web + Backend	Members, permissions, ownership	3	0		live contract + SSR/security test + full journey test
family/scan.tsx	family	MISSING_WEB_SURFACE	P1	Web + Backend	Members, permissions, ownership	2	1		live contract + SSR/security test + full journey test
family/shared-calendar.tsx	family	MISSING_WEB_SURFACE	P1	Web + Backend	Members, permissions, ownership	0	0		live contract + SSR/security test
health/actionable-order.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	4	3		live contract + SSR/security test + full journey test
health/add-family-member.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	0	0		live contract + SSR/security test
health/chronic-disease.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	5	3		live contract + SSR/security test + full journey test
health/chronic-medications.tsx	health	PARTIAL_MUTATION_CONTRACT_REQUIRED	P1	Web + Backend	Authoritative history, vitals, reports	7	3	/[locale]/health/chronic-medications	live contract + SSR/security test + full journey test
health/conditions-allergies.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	4	0		live contract + SSR/security test + full journey test
health/edit-profile.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	5	1		live contract + SSR/security test + full journey test
health/emergency-contacts.tsx	health	PARTIAL_MUTATION_CONTRACT_REQUIRED	P1	Web + Backend	Authoritative history, vitals, reports	7	0	/[locale]/health/emergency-contacts	live contract + SSR/security test + full journey test
health/family-calendar.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	0	0		live contract + SSR/security test
health/family-chat.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	0	0		live contract + SSR/security test
health/family-hub.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	8	6		live contract + SSR/security test + full journey test
health/family-member-detail.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	0	0		live contract + SSR/security test
health/health-id.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	6	2		live contract + SSR/security test + full journey test
health/medication-reminder-add.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	3	1		live contract + SSR/security test + full journey test
health/medication-reminder-list.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	9	3		live contract + SSR/security test + full journey test
health/medications.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	9	6		live contract + SSR/security test + full journey test
health/prescriptions.tsx	health	PARTIAL_ACTION_PROOF_REQUIRED	P1	Web + Backend	Authoritative history, vitals, reports	4	2	/[locale]/prescriptions	live contract + SSR/security test + full journey test
health/refills.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	3	2		live contract + SSR/security test + full journey test
health/reminders.tsx	health	READ_CANDIDATE_CONTRACT_PROOF_REQUIRED	P1	Web + Backend	Authoritative history, vitals, reports	0	0	/[locale]/reminders	live contract + SSR/security test
health/reports.tsx	health	PARTIAL_ACTION_PROOF_REQUIRED	P1	Web + Backend	Authoritative history, vitals, reports	2	0	/[locale]/health/reports	live contract + SSR/security test + full journey test
health/sleep-score.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	3	1		live contract + SSR/security test + full journey test
health/sleep-tracker.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	3	0		live contract + SSR/security test + full journey test
health/smart-reminders.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	0	0		live contract + SSR/security test
health/trends.tsx	health	PARTIAL_ACTION_PROOF_REQUIRED	P1	Web + Backend	Authoritative history, vitals, reports	7	0	/[locale]/health/trends	live contract + SSR/security test + full journey test
health/vitals-log.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	7	0		live contract + SSR/security test + full journey test
health/vitals.tsx	health	PARTIAL_ACTION_PROOF_REQUIRED	P1	Web + Backend	Authoritative history, vitals, reports	7	5	/[locale]/health/vitals	live contract + SSR/security test + full journey test
health/wearables.tsx	health	MISSING_WEB_SURFACE	P1	Web + Backend	Authoritative history, vitals, reports	3	1		live contract + SSR/security test + full journey test
index.tsx	index.tsx	MISSING_WEB_SURFACE	P2	Web + Backend	Needs capability review	0	3		live contract + SSR/security test
insurance/add-policy.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	4	1		live contract + SSR/security test + full journey test
insurance/approval-pending.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	5	4		live contract + SSR/security test + full journey test
insurance/benefits-summary.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	1	0		live contract + SSR/security test + full journey test
insurance/claim-tracking.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	4	3		live contract + SSR/security test + full journey test
insurance/copay.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	1	1		live contract + SSR/security test + full journey test
insurance/coverage-check.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	6	1		live contract + SSR/security test + full journey test
insurance/hub.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	11	8		live contract + SSR/security test + full journey test
insurance/index.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	0	0		live contract + SSR/security test
insurance/network-providers.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	5	1		live contract + SSR/security test + full journey test
insurance/payment-split.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	6	2		live contract + SSR/security test + full journey test
insurance/policy-detail.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	3	2		live contract + SSR/security test + full journey test
insurance/refund-status.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	1	0		live contract + SSR/security test + full journey test
insurance/submit-claim.tsx	insurance	MISSING_WEB_SURFACE	P1	Web + Backend	Policies, OCR, claims, approvals	5	0		live contract + SSR/security test + full journey test
loyalty/challenges.tsx	loyalty	MISSING_WEB_SURFACE	P2	Web + Backend	Points, offers, redemption	2	0		live contract + SSR/security test + full journey test
loyalty/hub.tsx	loyalty	MISSING_WEB_SURFACE	P2	Web + Backend	Points, offers, redemption	6	3		live contract + SSR/security test + full journey test
loyalty/leaderboard.tsx	loyalty	MISSING_WEB_SURFACE	P2	Web + Backend	Points, offers, redemption	1	0		live contract + SSR/security test + full journey test
loyalty/referrals.tsx	loyalty	MISSING_WEB_SURFACE	P2	Web + Backend	Points, offers, redemption	6	0		live contract + SSR/security test + full journey test
loyalty/rewards.tsx	loyalty	MISSING_WEB_SURFACE	P2	Web + Backend	Points, offers, redemption	2	0		live contract + SSR/security test + full journey test
map/index.tsx	map	MISSING_WEB_SURFACE	P1	Web + Backend	Location picker and privacy	14	6		live contract + SSR/security test + full journey test
maternity/baby-development.tsx	maternity	MISSING_WEB_SURFACE	P2	Backend + Medical	Programs and dashboards	0	0		live contract + SSR/security test
maternity/baby-growth.tsx	maternity	MISSING_WEB_SURFACE	P2	Backend + Medical	Programs and dashboards	0	0		live contract + SSR/security test
maternity/fetus-data.ts	maternity	MISSING_WEB_SURFACE	P2	Backend + Medical	Programs and dashboards	0	0		live contract + SSR/security test
maternity/hub.tsx	maternity	MISSING_WEB_SURFACE	P2	Backend + Medical	Programs and dashboards	4	2		live contract + SSR/security test + full journey test
maternity/maternity-setup.tsx	maternity	MISSING_WEB_SURFACE	P2	Backend + Medical	Programs and dashboards	2	1		live contract + SSR/security test + full journey test
maternity/ovulation-tracker.tsx	maternity	MISSING_WEB_SURFACE	P2	Backend + Medical	Programs and dashboards	0	0		live contract + SSR/security test
maternity/pregnancy-tracker.tsx	maternity	MISSING_WEB_SURFACE	P2	Backend + Medical	Programs and dashboards	0	0		live contract + SSR/security test
mental-health/breathing.tsx	mental-health	READ_CANDIDATE_CONTRACT_PROOF_REQUIRED	P1	Web	Mood, meditation, breathing, crisis	0	0	/[locale]/mental-health/breathing	live contract + SSR/security test
mental-health/crisis-support.tsx	mental-health	MISSING_WEB_SURFACE	P1	Web	Mood, meditation, breathing, crisis	10	1		live contract + SSR/security test + full journey test
mental-health/hub.tsx	mental-health	MISSING_WEB_SURFACE	P1	Web	Mood, meditation, breathing, crisis	2	1		live contract + SSR/security test + full journey test
mental-health/index.tsx	mental-health	MISSING_WEB_SURFACE	P1	Web	Mood, meditation, breathing, crisis	0	0		live contract + SSR/security test
mental-health/meditation.tsx	mental-health	READ_CANDIDATE_CONTRACT_PROOF_REQUIRED	P1	Web	Mood, meditation, breathing, crisis	0	0	/[locale]/mental-health/meditation	live contract + SSR/security test
mental-health/mood-journal.tsx	mental-health	MISSING_WEB_SURFACE	P1	Web	Mood, meditation, breathing, crisis	6	0		live contract + SSR/security test + full journey test
mental-health/self-assessment.tsx	mental-health	MISSING_WEB_SURFACE	P1	Web	Mood, meditation, breathing, crisis	0	0		live contract + SSR/security test
mental-health/therapist-match.tsx	mental-health	MISSING_WEB_SURFACE	P1	Web	Mood, meditation, breathing, crisis	0	0		live contract + SSR/security test
notifications/index.tsx	notifications	MISSING_WEB_SURFACE	P1	Web + Backend	Read state, settings, realtime	6	2		live contract + SSR/security test + full journey test
nursing/live-tracking.tsx	nursing	MISSING_WEB_SURFACE	P0	Web + Backend	Visit booking, broadcast, GPS, reports	6	2		live contract + SSR/security test + full journey test
nursing/nurse-profile.tsx	nursing	MISSING_WEB_SURFACE	P0	Web + Backend	Visit booking, broadcast, GPS, reports	12	3		live contract + SSR/security test + full journey test
nursing/service-details.tsx	nursing	MISSING_WEB_SURFACE	P0	Web + Backend	Visit booking, broadcast, GPS, reports	10	2		live contract + SSR/security test + full journey test
nursing/service-info.tsx	nursing	MISSING_WEB_SURFACE	P0	Web + Backend	Visit booking, broadcast, GPS, reports	3	1		live contract + SSR/security test + full journey test
nutrition/ai-meal-planner.tsx	nutrition	MISSING_WEB_SURFACE	P1	Web + Backend	Meal log and plans	0	0		live contract + SSR/security test
nutrition/ai-plan-builder.tsx	nutrition	MISSING_WEB_SURFACE	P1	Web + Backend	Meal log and plans	0	0		live contract + SSR/security test
nutrition/body-composition.tsx	nutrition	MISSING_WEB_SURFACE	P1	Web + Backend	Meal log and plans	0	0		live contract + SSR/security test
nutrition/body-target.tsx	nutrition	MISSING_WEB_SURFACE	P1	Web + Backend	Meal log and plans	2	1		live contract + SSR/security test + full journey test
nutrition/calorie-analyzer.tsx	nutrition	MISSING_WEB_SURFACE	P1	Web + Backend	Meal log and plans	0	0		live contract + SSR/security test
nutrition/daily-tracker.tsx	nutrition	MISSING_WEB_SURFACE	P1	Web + Backend	Meal log and plans	6	2		live contract + SSR/security test + full journey test
nutrition/exercise-plan.tsx	nutrition	MISSING_WEB_SURFACE	P1	Web + Backend	Meal log and plans	0	0		live contract + SSR/security test
nutrition/food-scanner.tsx	nutrition	MISSING_WEB_SURFACE	P1	Web + Backend	Meal log and plans	0	0		live contract + SSR/security test
