screen_or_member	domain	role	static_actions_api_state_signals	backend/payment/journey_status	gap_or_required_test
app/rn_screens.json	pharmacy/orders	ui/screen	"103: ""file"": ""pharmacy/prescription-upload.tsx"", || 379: ""file"": ""nursing/booking-confirm.tsx"", || 459: ""file"": ""consultations/cancel-reschedule.tsx"", || 503: ""file"": ""consultations/booking-success.tsx"", || 515: ""file"": ""consultations/booking-confirm.tsx"", || 547: ""file"": ""diagnostics/book-sample.tsx"", || 571: ""file"": ""diagnostics/booking-confirm.tsx"", || 647: ""file"": ""(auth)/login.tsx"", || 651: ""file"": ""(auth)/register.tsx"", || 763: ""file"": ""insurance/submit-claim.tsx"", || 791: ""file"": ""insurance/refund-status.tsx"", || 7: ""file"": ""settings/notifications-settings.tsx"", || 27: ""file"": ""settings/notifications.tsx"", || 263: ""file"": ""(tabs)/pharmacy.tsx"", || 527: ""file"": ""consultations/appointments.tsx"", || 267: ""file"": ""family/permission-request.tsx"", || 287: ""file"": ""family/permissions.tsx"", || 391: ""file"": ""(onboarding)/permissions.tsx"", || 647: ""file"": ""(auth)/login.tsx"", || 655: ""file"": ""(auth)/otp.tsx"", || 683: ""file"": ""community/live-session.tsx"", || 75: ""file"": ""pharmacy/broadcast-status.tsx"", || 127: ""file"": ""payments/failed.tsx"", || 131: ""file"": ""payments/success.tsx"","	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/_layout.tsx	pharmacy/orders	ui/screen	"8: import { Stack } from 'expo-router'; || 14: import * as SplashScreen from 'expo-splash-screen'; || 34: SplashScreen.preventAutoHideAsync(); || 54: SplashScreen.hideAsync(); || 59: bgSync.registerBackgroundFetch(); || 78: screenOptions={{ headerShown: false }} || 80: <Stack.Screen name=""index"" /> || 81: <Stack.Screen name=""(onboarding)"" /> || 82: <Stack.Screen name=""(auth)"" /> || 83: <Stack.Screen name=""(tabs)"" /> || 84: <Stack.Screen name=""room/[id]"" /> || 85: <Stack.Screen name=""ai-assistant"" /> || 18: import { SocketProvider } from '../src/context/SocketContext'; || 59: bgSync.registerBackgroundFetch(); || 68: <SocketProvider> || 93: </SocketProvider> || 9: import { StatusBar } from 'expo-status-bar'; || 36: function ThemedStatusBar() { || 38: return <StatusBar style={isDark ? 'light' : 'dark'} />; || 42: const [loaded, error] = useFonts({ || 53: if (loaded || error) { || 61: }, [loaded, error]); || 63: if (!loaded && !error) return null; || 74: <ThemedStatusBar />"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/ai-assistant.tsx	pharmacy/orders	ui/screen	4: import { Stack, useRouter } from 'expo-router'; || 18: export default function AIAssistantScreen() { || 19: const router = useRouter(); || 106: <Stack.Screen options={{ title: 'المساعد الطبي AI' }} /> || 135: onPress={() => router.push('/ai/prescription-translator')} || 142: onSubmitEditing={sendMessage} || 150: onPress={sendMessage} || 13: role: 'user' | 'assistant'; || 24: role: 'assistant', || 39: role: 'user', || 50: messages: messages.concat(userMessage).map(m => ({ role: m.role, content: m.content })), || 55: role: 'assistant', || 65: role: 'assistant', || 77: const isUser = item.role === 'user'; || 2: import React, { useState, useRef } from 'react'; || 21: const [messages, setMessages] = useState<Message[]>([ || 29: const [input, setInput] = useState(''); || 30: const [loading, setLoading] = useState(false); || 32: const user = useAppSelector(state => state.auth.user); || 35: if (!input.trim() || loading) return; || 46: setLoading(true); || 61: } catch (error) { || 62: console.error(error); || 63: const errorMessage: Message = {	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/support/chat.tsx	pharmacy/orders	ui/screen	"15: import { router } from ""expo-router""; || 39: export default function SupportChatScreen() { || 129: <TouchableOpacity onPress={() => router.back()} style={styles.hBtn}> || 199: onPress={() => sendMessage(qr)} || 226: onPress={() => sendMessage(inputText)} || 245: onSubmitEditing={() => sendMessage(inputText)} || 250: onPress={async () => { || 259: if (result.canceled || !result.assets?.[0]) return; || 269: const up = await apiFetch<any>('/media/upload', { method: 'POST', body: formData }); || 253: const perm = await ImagePicker.requestMediaLibraryPermissionsAsync(); || 3: import React, { useState, useRef } from ""react""; || 43: const [messages, setMessages] = useState<any[]>([]); || 44: const [inputText, setInputText] = useState(""""); || 45: const [isTyping, setIsTyping] = useState(false); || 46: const [attaching, setAttaching] = useState(false); || 100: throw new Error('No reply'); || 122: <View style={styles.agentStatus}> || 259: if (result.canceled || !result.assets?.[0]) return; || 301: agentStatus: { flexDirection: ""row-reverse"", alignItems: ""center"", gap: 5 }, || 22: Card, || 64: .catch(() => {}); || 100: throw new Error('No reply'); || 102: } catch { || 259: if (result.canceled || !result.assets?.[0]) return;"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/support/ticket.tsx	pharmacy/orders	ui/screen	"5: import { router } from ""expo-router""; || 19: export default function TicketTrackingScreen() { || 44: onPress={() => router.push(""/support/chat"")} || 50: <TouchableOpacity onPress={() => router.back()}> || 69: onPress={() => router.push(""/support/chat"")} || 22: const [tickets, setTickets] = React.useState<any[]>([]); || 23: const [loading, setLoading] = React.useState(true); || 29: .finally(() => setLoading(false)); || 57: {loading ? ( || 75: borderRightColor: t.statusColor || ""#23B5CE"", || 86: styles.statusBadge, || 87: { backgroundColor: (t.statusColor || ""#23B5CE"") + ""15"" }, || 90: <AppText variant=""bodySM"">{t.status || ""مفتوح""}</AppText> || 134: statusBadge: { borderRadius: 8, paddingHorizontal: 8, paddingVertical: 4 }, || 135: status: { fontSize: 11, fontWeight: ""800"" } as any, || 11: Card, || 71: styles.ticketCard, || 116: ticketCard: { || 23: const [loading, setLoading] = React.useState(true); || 28: .catch(() => setTickets([])) || 29: .finally(() => setLoading(false)); || 57: {loading ? ("	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/community/hub.tsx	pharmacy/orders	ui/screen	"16: import { router } from ""expo-router""; || 33: export default function Screen() { || 59: const res = await apiFetch(`/community/posts?page=1&limit=20${qs}`); || 98: onPress={() => setShowComposer(true)} || 107: onPress={() => router.back()} || 143: onPress={() => setActiveCategory(cat.key)} || 171: onPress={() => || 172: router.push({ || 238: onPress={() => setPostCategory(c.key)} || 260: onPress={publishPost} || 264: <Button label=""إلغاء"" variant=""ghost"" onPress={() => setShowComposer(false)} /> || 59: const res = await apiFetch(`/community/posts?page=1&limit=20${qs}`); || 74: await apiFetch(""/community/posts"", { || 2: import React, { useState, useEffect } from ""react""; || 7: StatusBar, || 36: const [posts, setPosts] = useState<any[]>([]); || 37: const [loading, setLoading] = useState(true); || 45: const [activeCategory, setActiveCategory] = useState(""""); || 46: const [showComposer, setShowComposer] = useState(false); || 47: const [postText, setPostText] = useState(""""); || 48: const [postCategory, setPostCategory] = useState(""question""); || 49: const [publishing, setPublishing] = useState(false); || 57: setLoading(true); || 63: console.error(err);"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/community/post-detail.tsx	pharmacy/orders	ui/screen	"13: import { router, useLocalSearchParams } from ""expo-router""; || 28: export default function PostDetailScreen() { || 132: <TouchableOpacity onPress={() => router.back()}> || 178: onPress={async () => { || 189: onPress={() => commentsRef.current?.scrollToEnd?.({ animated: true })} || 194: <TouchableOpacity style={styles.actionBtn} onPress={handleVote}> || 257: onPress={sendComment} || 277: onSubmitEditing={sendComment} || 53: const res = await apiFetch(`/community/posts/${postId}`); || 68: const res = await apiFetch(`/community/posts/${postId}/vote`, { || 87: const res = await apiFetch(`/community/posts/${postId}/comment`, { || 2: import React, { useState, useEffect } from ""react""; || 34: const [post, setPost] = useState<any>(null); || 35: const [comments, setComments] = useState<any[]>([]); || 37: const [loading, setLoading] = useState(true); || 38: const [comment, setComment] = useState(""""); || 39: const [voted, setVoted] = useState<""up"" | ""down"" | null>(null); || 40: const [voteCount, setVoteCount] = useState(0); || 46: setLoading(false); || 52: setLoading(true); || 58: console.error(err); || 60: setLoading(false); || 98: if (loading) { || 19: Card,"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/reports/hub.tsx	consultation/booking	ui/screen	"16: import { router } from ""expo-router""; || 41: if (r.lab_booking_id) return ""lab""; || 42: if (r.radiology_booking_id) return ""radiology""; || 59: export default function ReportsHubScreen() { || 110: onPress={() => router.back()} || 143: onPress={() => setFilter(f.key)} || 154: <Button label=""إعادة المحاولة"" size=""sm"" full={false} onPress={() => { setLoading(true); load(); }} /> || 178: onPress={() => || 179: router.push({ || 237: onPress={() => || 238: router.push({ || 250: onPress={() => || 71: const res = await apiFetch(""/medical-reports/mine?limit=100""); || 14: RefreshControl, || 65: const [refreshing, setRefreshing] = useState(false); || 80: setRefreshing(false); || 122: refreshControl={ || 123: <RefreshControl || 124: refreshing={refreshing} || 125: onRefresh={() => { || 126: setRefreshing(true); || 5: // view-report never read. Now: real API, honest states, correct params. || 6: import React, { useState, useEffect, useCallback } from ""react""; || 11: StatusBar,"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/reports/timeline.tsx	pharmacy/orders	ui/screen	"12: import { useRouter } from ""expo-router""; || 31: export default function MedicalTimelineScreen() { || 32: const router = useRouter(); || 59: const handleDownload = (title: string) => { || 80: <IconButton icon=""back"" onPress={() => router.back()} /> || 89: onPress={() => router.push(""/reports/passport"" as any)} || 117: onPress={() => setFilter(k)} || 207: onPress={() => handleDownload(item.title)} || 209: st.downloadBtn, || 217: name=""download"" || 282: downloadBtn: { || 43: const res = await apiFetch('/medical-reports/timeline'); || 3: import React, { useState } from ""react""; || 9: StatusBar, || 35: const [filter, setFilter] = useState<TimelineCategory>(""all""); || 37: const [events, setEvents] = useState<any[]>([]); || 38: const [loading, setLoading] = useState(true); || 46: console.error(err); || 48: setLoading(false); || 67: <StatusBar barStyle={isDark ? ""light-content"" : ""dark-content""} /> || 125: <View style={st.empty}> || 248: empty: { || 18: Card, || 155: {/* Right Side: Card Details */}"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/reports/ai-analysis.tsx	diagnostics/homecare	ui/screen	"1: import { Redirect } from 'expo-router'; || 5: return <Redirect href=""/health/reports"" />;"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/reports/view-report.tsx	pharmacy/orders	ui/screen	"15: import { router, useLocalSearchParams } from ""expo-router""; || 54: export default function ViewReportScreen() { || 110: <Button label=""رجوع"" size=""sm"" full={false} onPress={() => router.back()} /> || 132: onPress={handleShare} || 141: onPress={() => router.back()} || 245: onPress={() => || 246: router.push({ pathname: ""/reports/ai-analysis"", params: { id: report.id } }) || 70: const res = await apiFetch(`/reports/${params.id}`); || 4: // reports don't have (so it rendered empty), and its PDF/share buttons were || 5: // setTimeout + Alert simulations. Now: real fields, honest states, real Share. || 6: import React, { useState } from ""react""; || 11: StatusBar, || 58: const [report, setReport] = useState<any>(null); || 59: const [loading, setLoading] = useState(true); || 60: const [error, setError] = useState(false); || 65: setError(true); || 66: setLoading(false); || 73: console.error(err); || 74: setError(true); || 76: setLoading(false); || 21: Card, || 189: <Card> || 192: </Card> || 196: <Card>"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/reports/passport.tsx	pharmacy/orders	ui/screen	"13: import { useRouter } from ""expo-router""; || 30: export default function HealthPassportScreen() { || 31: const router = useRouter(); || 72: <IconButton icon=""back"" onPress={() => router.back()} /> || 79: <IconButton icon=""share"" onPress={handleSharePassport} /> || 250: onPress={() => || 38: apiFetch('/medical-profile').then(res => setProfile(res)).catch(() => {}); || 39: apiFetch('/medical-profile/passport-token').then(res => setPassportToken(res)).catch(() => setPassportToken(null)); || 35: const [passportToken, setPassportToken] = React.useState<any>(null); || 39: apiFetch('/medical-profile/passport-token').then(res => setPassportToken(res)).catch(() => setPassportToken(null)); || 99: {/* QR contains only a short-lived opaque backend token, never medical data. */} || 102: {passportToken?.token ? ( || 105: t: passportToken.format, || 106: v: passportToken.version, || 107: token: passportToken.token, || 120: label={passportToken?.expires_at ? `رمز مؤقت حتى ${new Date(passportToken.expires_at).toLocaleTimeString()}` : 'يتطلب اتصالاً آمناً'} || 9: StatusBar, || 34: const [profile, setProfile] = React.useState<any>(null); || 35: const [passportToken, setPassportToken] = React.useState<any>(null); || 52: } catch (error) { || 53: console.error(error); || 59: <StatusBar barStyle={isDark ? ""light-content"" : ""dark-content""} /> || 121: color={colors.success} || 137: <AppText variant=""h3"" color={colors.error}>"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/profile/index.tsx	pharmacy/orders	ui/screen	"5: import { router } from 'expo-router'; || 7: import { logout } from '../../src/store/slices/authSlice'; || 15: const MENU: { icon: IconName; label: string; route: string; color: string; badge?: string }[] = [ || 16: { icon: 'favorite', label: 'صحتي', route: '/(tabs)/health', color: '#E11D48' }, || 17: { icon: 'medication', label: 'أدويتي', route: '/health/medications', color: '#16A34A' }, || 18: { icon: 'prescriptions', label: 'وصفاتي', route: '/health/prescriptions', color: '#7A6BEA' }, || 19: { icon: 'document', label: 'تقاريري', route: '/health/reports', color: '#F0A526' }, || 20: { icon: 'calendar', label: 'مواعيدي', route: '/consultations/appointments', color: '#0284C7' }, || 21: { icon: 'shopping_cart', label: 'طلباتي', route: '/orders', color: '#D97706' }, || 22: { icon: 'wallet', label: 'محفظتي', route: '/wallet/hub', color: '#059669' }, || 23: { icon: 'shield', label: 'التأمين الطبي', route: '/profile/insurance', color: '#4F46E5' }, || 24: { icon: 'location', label: 'عناويني', route: '/profile/addresses', color: '#DB2777' }, || 7: import { logout } from '../../src/store/slices/authSlice'; || 20: { icon: 'calendar', label: 'مواعيدي', route: '/consultations/appointments', color: '#0284C7' }, || 21: { icon: 'shopping_cart', label: 'طلباتي', route: '/orders', color: '#D97706' }, || 22: { icon: 'wallet', label: 'محفظتي', route: '/wallet/hub', color: '#059669' }, || 23: { icon: 'shield', label: 'التأمين الطبي', route: '/profile/insurance', color: '#4F46E5' }, || 44: apiFetch('/loyalty/account') || 7: import { logout } from '../../src/store/slices/authSlice'; || 32: const handleLogout = () => { || 33: dispatch(logout()); || 79: <Button label=""تسجيل الدخول / إنشاء حساب"" variant=""primary"" onPress={handleLogout} style={{ width: '100%', marginTop: 8 }}/> || 115: {!isGuest && <Button label=""تسجيل الخروج"" variant=""outline"" icon=""logout"" onPress={handleLogout} style={{ borderColor: colors.error }}/>} || 4: import { View, StyleSheet, ScrollView, TouchableOpacity, StatusBar } from 'react-native';"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/profile/addresses.tsx	pharmacy/orders	ui/screen	"11: import { router } from ""expo-router""; || 19: export default function AddressesScreen() { || 85: onPress={() => router.back()} || 108: onPress={() => handleSetDefault(addr.id)} || 29: const data = await apiFetch(""/users/me/addresses""); || 46: await apiFetch(`/users/me/addresses/${id}`, { || 2: import React, { useState, useEffect } from ""react""; || 22: const [addresses, setAddresses] = useState<any[]>([]); || 23: const [loading, setLoading] = useState(true); || 34: setLoading(false); || 90: {loading ? ( || 100: st.card, || 173: card: { padding: 16, borderRadius: 16, borderWidth: 1.5 }, || 23: const [loading, setLoading] = useState(true); || 31: } catch { || 34: setLoading(false); || 40: // E2: optimistic update with revert + alert on failure (was silent catch{} — UI lied about the default) || 50: } catch (e: any) { || 90: {loading ? ("	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/profile/insurance.tsx	pharmacy/orders	ui/screen	"12: import { router } from ""expo-router""; || 21: export default function InsuranceScreen() { || 54: // Insurance requires a registered account (guests are blocked by policy) || 139: onPress={() => router.back()} || 190: onPress={openForm} || 209: onPress={() => pickCompany(c)} || 240: onPress={() => setNetworkCode(n.code)} || 278: onPress={savePolicy} || 284: onPress={() => setShowForm(false)} || 306: onPress={openForm} || 40: const data = await apiFetch(""/users/me/insurance""); || 61: const list = await apiFetch(""/insurance/companies""); || 73: const nets = await apiFetch(`/insurance/companies/${c.id || c.code}/networks`); || 96: const saved = await apiFetch(""/users/me/insurance"", { || 2: import React, { useState, useEffect } from ""react""; || 25: const [insurance, setInsurance] = useState<any>(null); || 26: const [loading, setLoading] = useState(true); || 28: // Real add-policy form state (catalog-driven) || 29: const [showForm, setShowForm] = useState(false); || 30: const [companies, setCompanies] = useState<any[]>([]); || 31: const [networks, setNetworks] = useState<any[]>([]); || 32: const [companyId, setCompanyId] = useState<string | null>(null); || 33: const [networkCode, setNetworkCode] = useState<string | null>(null); || 34: const [policyNumber, setPolicyNumber] = useState("""");"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/profile/edit.tsx	identity/session	ui/screen	"2: import { Redirect } from ""expo-router""; || 4: return <Redirect href=""/health/edit-profile"" />;"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/offers/index.tsx	pharmacy/orders	ui/screen	"5: import { useRouter } from 'expo-router'; || 12: export default function OffersListScreen() { || 13: const router = useRouter(); || 40: <IconButton icon=""back"" onPress={() => router.back()} /> || 54: {loadError && <AppText variant=""labelMD"" color={colors.primary} onPress={load}>إعادة المحاولة</AppText>} || 59: <TouchableOpacity key={o.id || i} activeOpacity={0.85} onPress={() => o.id && router.push(`/offers/${o.id}`)}> || 23: apiFetch('/home/offers') || 3: import React, { useState, useEffect } from 'react'; || 4: import { View, StyleSheet, ScrollView, StatusBar, TouchableOpacity, ActivityIndicator } from 'react-native'; || 16: const [offers, setOffers] = useState<any[]>([]); || 17: const [loading, setLoading] = useState(true); || 18: const [loadError, setLoadError] = useState(false); || 21: setLoading(true); || 22: setLoadError(false); || 28: .catch(() => { setOffers([]); setLoadError(true); }) || 29: .finally(() => setLoading(false)); || 36: <StatusBar barStyle={isDark ? 'light-content' : 'dark-content'} /> || 43: {loading ? ( || 50: <AppText variant=""h5"" align=""center"">{loadError ? 'تعذر تحميل العروض' : 'لا توجد عروض متاحة حالياً'}</AppText> || 2: // app/offers/index.tsx — كل العروض والباقات النشطة || 9: import { AppText, Card, Badge, IconButton } from '../../src/components/ui'; || 12: export default function OffersListScreen() { || 16: const [offers, setOffers] = useState<any[]>([]); || 23: apiFetch('/home/offers')"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
